 seed   beta  TV(MF,Gibbs) mean      max   acc MF  acc Gibbs    rhat      ess  gate
    0   2.00            0.15789   1.0000   0.7460     0.7470  1.8681        6     0
    1   0.25            0.00161   0.1430   0.5340     0.5360  1.0000     5650     1
    2   0.25            0.00088   0.0341   0.7700     0.7680  0.9998     7487     1
    3   2.00            0.18823   1.0000   0.7220     0.6890  1.7806        6     0
    4   2.00            0.22087   1.0000   0.7490     0.7250  1.7774        6     0
    5   2.00            0.19277   1.0000   0.7210     0.6590  1.4283        8     0
    6   1.00            0.05164   0.9444   0.7560     0.7560  1.0128     1834     0
    7   2.00            0.14316   1.0000   0.7100     0.6410  2.5766        5     0
    8   1.00            0.09631   1.0000   0.6910     0.6130  1.0033     3287     1
    9   1.00            0.04035   0.6125   0.7920     0.8050  0.9998     4372     1
