structure,n,C,beta,alpha,draw_seed,method,tv_mean,tv_max,tv_mean_informative,tv_mean_uninformative,converged,iters,final_residual,ess_min,rhat_max,gibbs_kept,exact_method,wall_seconds
grid_budget,16,3,1.75,1.5,200,mf,0.11997807320936231,0.240089966446178,0.10759063450943274,0.15714038930915103,1,,,,,,ve,
grid_budget,16,3,1.75,1.5,200,lbp,0.027244224013580873,0.06115124334147855,0.025822921325282366,0.0315081320784764,1,,,,,,ve,
grid_budget,16,3,1.75,1.5,200,gibbs,0.04367398540646805,0.1060320427571043,0.03611753043538491,0.06634335031971744,0,,,29.8,1.16552,10,ve,2.8735
grid_budget,16,3,1.75,1.5,200,gibbs,0.02480145644281317,0.09185725652455912,0.02100744497560735,0.036183490844430635,0,,,71.2,1.0552,30,ve,2.1984
grid_budget,16,3,1.75,1.5,200,gibbs,0.015492282259940808,0.03285616011566561,0.013687764251728405,0.020905836284578018,0,,,103.1,1.03941,100,ve,2.3026
grid_budget,16,3,1.75,1.5,200,gibbs,0.00884250215344181,0.021538861243477432,0.008655994965260004,0.00940202371798723,0,,,247.2,1.01614,300,ve,1.2991
grid_budget,16,3,1.75,1.5,200,gibbs,0.006355662231107102,0.010928907895983456,0.006028690959369826,0.0073365760463189305,1,,,1036.6,1.00261,1000,ve,4.621
grid_budget,16,3,1.75,1.5,200,gibbs,0.004293668747974741,0.009373210213840452,0.003788928449345821,0.0058078896438615,1,,,3649.4,1.00162,3000,ve,11.0808
grid_budget,16,3,1.75,1.5,201,mf,0.16378647145334532,0.3369599783889109,0.18714744075541467,0.09370356354713724,1,,,,,,ve,
grid_budget,16,3,1.75,1.5,201,lbp,0.0802691628159436,0.12926238908015703,0.0789429956091479,0.08424766443633067,1,,,,,,ve,
grid_budget,16,3,1.75,1.5,201,gibbs,0.10424525825268138,0.17896694433964272,0.1096938959788849,0.0878993450740708,0,,,21.9,1.24039,10,ve,2.0958
grid_budget,16,3,1.75,1.5,201,gibbs,0.10581933795962248,0.17790146135090312,0.11308199710174982,0.08403136053324041,0,,,62.1,1.04879,30,ve,1.994
grid_budget,16,3,1.75,1.5,201,gibbs,0.06403002316639539,0.07145989978056698,0.06321949317586706,0.06646161313798038,0,,,92.4,1.02171,100,ve,2.1788
grid_budget,16,3,1.75,1.5,201,gibbs,0.06448803105546974,0.0724345258893465,0.06292505499944298,0.06917695922355002,0,,,288.3,1.00238,300,ve,3.26
grid_budget,16,3,1.75,1.5,201,gibbs,0.022839976142618647,0.029867991556874102,0.021290270705180123,0.02748909245493422,1,,,670.1,1.00137,1000,ve,4.68
grid_budget,16,3,1.75,1.5,201,gibbs,0.020694935957004626,0.030492996363298747,0.020746069024610157,0.020541536754188038,1,,,1947.4,1.00081,3000,ve,11.3639
grid_budget,16,3,1.75,1.5,202,mf,0.0756241436389367,0.22091088529715175,0.08455746043920011,0.04882419323814642,1,,,,,,ve,
grid_budget,16,3,1.75,1.5,202,lbp,0.02320128500762652,0.04266161679725583,0.025074946256330805,0.01758030126151367,1,,,,,,ve,
grid_budget,16,3,1.75,1.5,202,gibbs,0.12070273697468599,0.24477208598045588,0.12437948469610212,0.10967249381043756,0,,,13.8,1.71434,10,ve,1.8354
grid_budget,16,3,1.75,1.5,202,gibbs,0.05656720381473271,0.13129731568939107,0.05560789461279092,0.05944513142055808,0,,,14.8,1.23813,30,ve,1.9553
grid_budget,16,3,1.75,1.5,202,gibbs,0.024837976471369424,0.052410581055477926,0.02422279286694054,0.026683527284656075,0,,,88.7,1.04084,100,ve,2.2748
grid_budget,16,3,1.75,1.5,202,gibbs,0.015692275764336516,0.027227946495755814,0.014724195572873284,0.018596516338726204,0,,,226.7,1.02407,300,ve,2.8571
grid_budget,16,3,1.75,1.5,202,gibbs,0.005412535640278066,0.01065661075269396,0.006145426902257199,0.003213861854340667,1,,,752.4,1.00762,1000,ve,6.1376
grid_budget,16,3,1.75,1.5,202,gibbs,0.006748917574628633,0.01059759491080349,0.006943554410835204,0.006165007066008919,1,,,2033.5,1.00191,3000,ve,13.0911
grid_budget,16,3,1.75,1.5,203,mf,0.037529020257721944,0.1273792708929618,0.04002801029613839,0.030032050142472615,1,,,,,,ve,
grid_budget,16,3,1.75,1.5,203,lbp,0.014430362726553871,0.025193942364732498,0.01321396430975115,0.018079557976962035,1,,,,,,ve,
grid_budget,16,3,1.75,1.5,203,gibbs,0.08481089809100226,0.21140818861143781,0.08387721162869821,0.08761195747791442,0,,,14.1,1.65692,10,ve,2.9272
grid_budget,16,3,1.75,1.5,203,gibbs,0.03396609783788129,0.10528155979641343,0.036607907106194514,0.026040670032941644,0,,,19.1,1.18106,30,ve,2.2845
grid_budget,16,3,1.75,1.5,203,gibbs,0.009300855577948072,0.01564556269368938,0.009363623193007058,0.009112552732771107,0,,,96.6,1.03176,100,ve,2.5804
grid_budget,16,3,1.75,1.5,203,gibbs,0.00869003258975046,0.017272120120123302,0.008060682423788325,0.010578083087636869,0,,,375.7,1.01117,300,ve,3.2556
grid_budget,16,3,1.75,1.5,203,gibbs,0.0020738976587333126,0.006262088131290398,0.0019340130827631243,0.0024935513866438785,1,,,705.4,1.00739,1000,ve,6.3337
grid_budget,16,3,1.75,1.5,203,gibbs,0.0034388010590181454,0.006026166145390839,0.00304161294582456,0.0046303653985988995,1,,,1986.7,1.00227,3000,ve,12.1408
grid_budget,16,3,1.75,1.5,204,mf,0.5769859714097809,0.7568039994249953,0.5441433065246186,0.6755139660652678,1,,,,,,ve,
grid_budget,16,3,1.75,1.5,204,lbp,0.22626583725614674,0.32421439536566976,0.21239124464458195,0.2678896150908411,1,,,,,,ve,
grid_budget,16,3,1.75,1.5,204,gibbs,0.20554289185162689,0.3501723766823277,0.18863692833369425,0.25626078240542494,0,,,17.2,1.38429,10,ve,2.0439
grid_budget,16,3,1.75,1.5,204,gibbs,0.10971461986822026,0.16505916635058765,0.10320677879288727,0.12923814309421922,0,,,13.8,1.26979,30,ve,2.7188
grid_budget,16,3,1.75,1.5,204,gibbs,0.09965330270295639,0.13245588621724555,0.09406436222714142,0.11642012413040134,0,,,25.7,1.10522,100,ve,2.2092
grid_budget,16,3,1.75,1.5,204,gibbs,0.16652492417495346,0.22808787866700786,0.15755091249439543,0.19344695921662752,0,,,159.3,1.02939,300,ve,2.7737
grid_budget,16,3,1.75,1.5,204,gibbs,0.039083467694518384,0.057095891840018745,0.035980061602031134,0.04839368597198012,0,,,335.9,1.01135,1000,ve,4.8793
grid_budget,16,3,1.75,1.5,204,gibbs,0.0201194251005101,0.031524284593155,0.01866832117177761,0.024472736886707567,1,,,784.9,1.00267,3000,ve,11.3881
grid_budget,16,3,1.75,1.5,205,mf,0.1123712332151044,0.1668089006026073,0.10702412542134827,0.1284125565963727,1,,,,,,ve,
grid_budget,16,3,1.75,1.5,205,lbp,0.07476533564318025,0.09498507497740176,0.07399272264087646,0.07708317465009158,1,,,,,,ve,
grid_budget,16,3,1.75,1.5,205,gibbs,0.10085932288996138,0.18957996537695185,0.09486862179679405,0.11883142616946335,0,,,21.0,1.2387,10,ve,1.9658
grid_budget,16,3,1.75,1.5,205,gibbs,0.043518346245200804,0.07075275353027094,0.043382635374492974,0.043925478857324306,0,,,30.9,1.10892,30,ve,1.9966
grid_budget,16,3,1.75,1.5,205,gibbs,0.03930692681766566,0.07301701928095558,0.040907791757324306,0.03450433199868972,0,,,109.4,1.03634,100,ve,2.6064
grid_budget,16,3,1.75,1.5,205,gibbs,0.017542034088443584,0.0300063706631639,0.017776399580452136,0.016838937612417938,0,,,351.9,1.00232,300,ve,3.2308
grid_budget,16,3,1.75,1.5,205,gibbs,0.032154728708543495,0.04096815446318092,0.03201288632941451,0.03258025584593048,0,,,758.8,1.01429,1000,ve,4.769
grid_budget,16,3,1.75,1.5,205,gibbs,0.00504864887829222,0.013968129757367213,0.005136691779174427,0.004784520175645603,1,,,1342.0,1.00162,3000,ve,11.1488
grid_budget,16,3,1.75,1.5,206,mf,0.0132677754643419,0.048102435595711826,0.016312082752356544,0.004134853600297968,1,,,,,,ve,
grid_budget,16,3,1.75,1.5,206,lbp,0.0012190078492641371,0.0037061078217295353,0.0014137019154545846,0.0006349256506927943,1,,,,,,ve,
grid_budget,16,3,1.75,1.5,206,gibbs,0.006057938148353091,0.03581599624943596,0.007762774297441277,0.0009434297010885305,0,,,39.2,1.04104,10,ve,2.0031
grid_budget,16,3,1.75,1.5,206,gibbs,0.006296886883870482,0.04553686407499629,0.007568857373486222,0.0024809754150232617,0,,,80.8,1.02311,30,ve,2.038
grid_budget,16,3,1.75,1.5,206,gibbs,0.0024448792981545744,0.016556112293164164,0.0029145107988874145,0.0010359847959560537,0,,,155.1,1.03002,100,ve,2.194
grid_budget,16,3,1.75,1.5,206,gibbs,0.001995152328596626,0.005711019934317944,0.0021645746221770866,0.0014868854478552445,1,,,714.8,1.00654,300,ve,2.891
grid_budget,16,3,1.75,1.5,206,gibbs,0.0005713989490096956,0.0010908330627465573,0.0006483365987521853,0.0003405859997822263,1,,,2251.9,1.00284,1000,ve,5.6953
grid_budget,16,3,1.75,1.5,206,gibbs,0.0007543076594169577,0.002160256024147264,0.0009535344188767474,0.00015662738103758812,1,,,6097.4,1.00015,3000,ve,10.9227
grid_budget,16,3,1.75,1.5,207,mf,0.5343034843716202,0.8403194641756693,0.5195021286255918,0.5787075516097058,1,,,,,,ve,
grid_budget,16,3,1.75,1.5,207,lbp,0.10079903127450941,0.15865961710331922,0.09597760519695299,0.1152633095071786,1,,,,,,ve,
grid_budget,16,3,1.75,1.5,207,gibbs,0.04369299752418894,0.09266527834138139,0.04316858655109542,0.04526623044346948,0,,,17.6,1.36587,10,ve,2.1472
grid_budget,16,3,1.75,1.5,207,gibbs,0.08129729375567508,0.1460553639520941,0.08037746436064391,0.08405678194076861,0,,,11.6,1.33701,30,ve,1.9269
grid_budget,16,3,1.75,1.5,207,gibbs,0.05207012880220123,0.08372799700038304,0.05058776486923116,0.05651722060111144,0,,,26.4,1.13212,100,ve,2.1512
grid_budget,16,3,1.75,1.5,207,gibbs,0.03577663877729565,0.05886432776802526,0.033309071818900145,0.04317933965248217,0,,,34.2,1.09033,300,ve,2.7527
grid_budget,16,3,1.75,1.5,207,gibbs,0.009896977762124554,0.02388297678619479,0.009602813994973843,0.010779469063576684,0,,,339.1,1.01188,1000,ve,5.1923
