structure,n,C,beta,alpha,draw_seed,method,tv_mean,tv_max,tv_mean_informative,tv_mean_uninformative,converged,iters,final_residual,ess_min,rhat_max,gibbs_kept,exact_method,wall_seconds
chain,20,3,0.0,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.01
chain,20,3,0.0,0.5,200,mf,4.574899487019835e-16,1.0443035325380379e-15,4.887872514143983e-16,3.6359804056473876e-16,1,1,,,,,ve,0.0015
chain,20,3,0.0,0.5,200,lbp,4.648625234748849e-16,1.0495077029659683e-15,4.958417935500373e-16,3.7192471324942745e-16,1,3,0.0,,,,ve,0.0018
chain,20,3,0.0,0.5,200,gibbs,6.491248510931413e-15,1.5931700403370996e-14,6.4257626997132885e-15,6.6877059445857864e-15,1,2000,,7603.7,1.0002,2000,ve,9.3335
chain,20,3,0.1,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0276
chain,20,3,0.1,0.5,200,mf,0.00035569452370426457,0.000653762819268211,0.00035341030876315965,0.00036254716852757927,1,4,,,,,ve,0.0025
chain,20,3,0.1,0.5,200,lbp,9.056546749746514e-08,2.071870556681621e-07,8.597816663115839e-08,1.0432737009638537e-07,1,17,1.634067237632486e-07,,,,ve,0.0074
chain,20,3,0.1,0.5,200,gibbs,0.00021836669502601296,0.0005163026062621565,0.00020744801614942375,0.00025112273165578056,1,2000,,7585.5,1.00053,2000,ve,8.3828
chain,20,3,0.25,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0323
chain,20,3,0.25,0.5,200,mf,0.0022589671405594284,0.0044452259743692005,0.0022618811510710037,0.002250225109024703,1,5,,,,,ve,0.0067
chain,20,3,0.25,0.5,200,lbp,1.0261495704409935e-07,3.047643580764148e-07,9.23869081601141e-08,1.3329910369605513e-07,1,19,2.0083229884670928e-07,,,,ve,0.0256
chain,20,3,0.25,0.5,200,gibbs,0.0005719291445129979,0.0013700371486781542,0.0005387181785652506,0.0006715620423562399,1,2000,,7332.2,1.00006,2000,ve,8.0841
chain,20,3,0.5,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0122
chain,20,3,0.5,0.5,200,mf,0.009270054294368245,0.01943708297315342,0.009319741948916656,0.009120991330723012,1,7,,,,,ve,0.0043
chain,20,3,0.5,0.5,200,lbp,1.1638854094241525e-07,2.383881591849768e-07,1.070736111267144e-07,1.443333303895178e-07,1,22,2.521085139539636e-07,,,,ve,0.0118
chain,20,3,0.5,0.5,200,gibbs,0.0011580188980346213,0.0026241813241946743,0.0011086193297472563,0.001306217602896715,1,2000,,6868.2,1.00008,2000,ve,8.5046
chain,20,3,0.75,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0124
chain,20,3,0.75,0.5,200,mf,0.023174551248271114,0.044652105242517226,0.022453411065462694,0.025337971796696373,1,10,,,,,ve,0.0053
chain,20,3,0.75,0.5,200,lbp,1.0013460186809789e-07,2.263980078964778e-07,9.514975111166978e-08,1.1508915413738219e-07,1,25,2.8323437772925786e-07,,,,ve,0.0113
chain,20,3,0.75,0.5,200,gibbs,0.0015401486636351027,0.004150111455116254,0.0016059625712707226,0.001342706940728243,1,2000,,6257.3,0.99989,2000,ve,7.6435
chain,20,3,1.0,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0114
chain,20,3,1.0,0.5,200,mf,0.04597060144065602,0.078566418174437,0.04212821805020364,0.057497751612013134,1,14,,,,,ve,0.007
chain,20,3,1.0,0.5,200,lbp,1.2548138965701605e-07,2.472501833845203e-07,1.055558809653738e-07,1.8525791573194283e-07,1,28,2.9166608916941783e-07,,,,ve,0.0131
chain,20,3,1.0,0.5,200,gibbs,0.002275316129132967,0.00589430651658172,0.0024738444461266493,0.0016797311781519188,1,2000,,5348.9,1.00018,2000,ve,8.7957
chain,20,3,1.3,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0111
chain,20,3,1.3,0.5,200,mf,0.08149419009888403,0.17032822752566973,0.07031618259337359,0.11502821261541538,1,21,,,,,ve,0.0099
chain,20,3,1.3,0.5,200,lbp,1.9573647535146322e-07,5.569820727326785e-07,1.545396901530526e-07,3.1932683094669514e-07,1,32,3.898436074512013e-07,,,,ve,0.0145
chain,20,3,1.3,0.5,200,gibbs,0.003236889574882937,0.009056463618357338,0.0031450509611483973,0.003512405416086556,1,2000,,4791.6,1.00001,2000,ve,7.8431
chain,20,3,1.75,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0126
chain,20,3,1.75,0.5,200,mf,0.16086482579888298,0.35081907494669906,0.15074195464295817,0.1912334392666574,1,24,,,,,ve,0.0125
chain,20,3,1.75,0.5,200,lbp,2.2210843566856497e-07,6.708690393278371e-07,2.2365942208086322e-07,2.1745547643167024e-07,1,39,4.744437166470661e-07,,,,ve,0.0195
chain,20,3,1.75,0.5,200,gibbs,0.006631680475122058,0.01910323823219512,0.006178365169234131,0.007991626392785839,1,2000,,3129.2,1.00043,2000,ve,9.7126
chain,20,3,2.5,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0141
chain,20,3,2.5,0.5,200,mf,0.19783624327901006,0.6366178432673256,0.1913279569353635,0.21736110230994976,1,29,,,,,ve,0.0179
chain,20,3,2.5,0.5,200,lbp,1.6955180899847757e-07,6.820693551293916e-07,1.847282539809824e-07,1.2402247405096308e-07,1,48,4.4213128547188063e-07,,,,ve,0.0287
chain,20,3,2.5,0.5,200,gibbs,0.012995423716523652,0.029507755441817822,0.012886236039892363,0.013322986746417529,1,2000,,1467.8,1.0013,2000,ve,9.8083
chain,20,3,4.0,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0221
chain,20,3,4.0,0.5,200,mf,0.39016431851413985,0.9071119998028152,0.39267168270608477,0.382642225938305,1,45,,,,,ve,0.0377
chain,20,3,4.0,0.5,200,lbp,5.706081416798666e-08,5.118741473915389e-07,6.89050428423307e-08,2.1528128144954542e-08,1,63,4.809431000118991e-07,,,,ve,0.1051
chain,20,3,4.0,0.5,200,gibbs,0.020520857192839515,0.035888590958078566,0.020818259024396085,0.019628651698169793,0,2000,,304.9,1.01302,2000,ve,9.6937
chain,20,3,0.0,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0134
chain,20,3,0.0,1.5,200,mf,5.49451976972204e-16,1.519617764955683e-15,4.772513402991526e-16,7.660538869913581e-16,1,1,,,,,ve,0.0011
chain,20,3,0.0,1.5,200,lbp,5.525419531637876e-16,1.6028844918025698e-15,4.739698217237632e-16,7.882583474838611e-16,1,3,0.0,,,,ve,0.0021
chain,20,3,0.0,1.5,200,gibbs,6.854792341387528e-15,1.3662682096793333e-14,6.7273010079249575e-15,7.237266341775239e-15,1,2000,,7847.6,0.99988,2000,ve,10.1322
chain,20,3,0.1,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0154
chain,20,3,0.1,1.5,200,mf,0.0002673142615418869,0.0006328106845982766,0.00023429446519977707,0.00036637365056821635,1,4,,,,,ve,0.0025
chain,20,3,0.1,1.5,200,lbp,7.654897114516306e-08,1.6854487062262224e-07,7.546940936051643e-08,7.978765649910291e-08,1,17,1.8031835780085714e-07,,,,ve,0.0098
chain,20,3,0.1,1.5,200,gibbs,0.0001975887238404355,0.0006712807839308228,0.00021489253806736795,0.00014567728115963825,1,2000,,7748.1,0.99985,2000,ve,8.8002
chain,20,3,0.25,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0116
chain,20,3,0.25,1.5,200,mf,0.0017505912177404246,0.00403714280646055,0.0015370088839917423,0.002391338218986472,1,5,,,,,ve,0.003
chain,20,3,0.25,1.5,200,lbp,9.573479108553962e-08,2.893650724034025e-07,8.991801397346781e-08,1.1318512242175505e-07,1,19,1.8578422411597018e-07,,,,ve,0.01
chain,20,3,0.25,1.5,200,gibbs,0.0005004491984358589,0.0017743501269682658,0.0005542137434722161,0.0003391555633267873,1,2000,,7331.4,0.99992,2000,ve,8.5502
chain,20,3,0.5,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0153
chain,20,3,0.5,1.5,200,mf,0.007652998355645238,0.01849417666242529,0.006867503277299636,0.01000948359068204,1,7,,,,,ve,0.004
chain,20,3,0.5,1.5,200,lbp,9.315595490059473e-08,2.835406773538107e-07,8.91448300865512e-08,1.0518932934272529e-07,1,22,2.601246441025218e-07,,,,ve,0.0098
chain,20,3,0.5,1.5,200,gibbs,0.0010622114953985633,0.004041262030744227,0.0011096885889389672,0.0009197802147773507,1,2000,,7437.9,1.00028,2000,ve,8.0264
chain,20,3,0.75,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0138
chain,20,3,0.75,1.5,200,mf,0.01907251655118191,0.05005341875794727,0.017997698910416898,0.022296969473476962,1,9,,,,,ve,0.0065
chain,20,3,0.75,1.5,200,lbp,8.67632274811599e-08,2.3145932401269498e-07,8.348764752299717e-08,9.658996735564807e-08,1,25,2.5214430093845053e-07,,,,ve,0.0141
chain,20,3,0.75,1.5,200,gibbs,0.0017981479336988619,0.006638547010637916,0.001801475916897756,0.0017881639841021806,1,2000,,6763.7,1.00028,2000,ve,8.5954
chain,20,3,1.0,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0124
chain,20,3,1.0,1.5,200,mf,0.03787085935826342,0.10106873854639489,0.03613887702350918,0.04306680636252615,1,14,,,,,ve,0.007
chain,20,3,1.0,1.5,200,lbp,1.5682078548747195e-07,4.608536403050145e-07,1.4687984876617532e-07,1.866435956513618e-07,1,27,2.6315816287203475e-07,,,,ve,0.013
chain,20,3,1.0,1.5,200,gibbs,0.0023999847196659783,0.00913154361868308,0.002200958560829028,0.00299706319617683,1,2000,,6024.9,1.00027,2000,ve,8.5769
chain,20,3,1.3,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0186
chain,20,3,1.3,1.5,200,mf,0.07975240853847936,0.17145250688790786,0.07164164049853516,0.10408471265831196,1,22,,,,,ve,0.019
chain,20,3,1.3,1.5,200,lbp,1.9323212972481465e-07,5.033346006100281e-07,1.6363188286308416e-07,2.8203287031000614e-07,1,31,4.179036202089925e-07,,,,ve,0.0188
chain,20,3,1.3,1.5,200,gibbs,0.004378530763992661,0.010098416257721926,0.0038720181096389694,0.005898068727053736,1,2000,,4620.9,1.00033,2000,ve,8.0391
chain,20,3,1.75,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0154
chain,20,3,1.75,1.5,200,mf,0.19577537507764278,0.3732665655240437,0.17838629253678423,0.24794262270021855,1,20,,,,,ve,0.0108
chain,20,3,1.75,1.5,200,lbp,2.441587107996116e-07,1.1629396088688737e-06,2.424281667621304e-07,2.493503429120553e-07,1,38,4.449999523314929e-07,,,,ve,0.018
chain,20,3,1.75,1.5,200,gibbs,0.00618207989979142,0.014947645324639738,0.005375497596726609,0.008601826808985854,1,2000,,2961.1,1.00206,2000,ve,8.2909
chain,20,3,2.5,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0134
chain,20,3,2.5,1.5,200,mf,0.21463171106911277,0.5194828990168756,0.2015473539018047,0.2538847825710369,1,11,,,,,ve,0.0065
chain,20,3,2.5,1.5,200,lbp,5.801827590774821e-08,2.9061434195232216e-07,6.599809192820028e-08,3.407882784639202e-08,1,49,2.6865548530263794e-07,,,,ve,0.0243
chain,20,3,2.5,1.5,200,gibbs,0.011580657724506078,0.0317835052856566,0.010832207488111515,0.013826008433689774,1,2000,,1310.7,1.00261,2000,ve,7.9822
chain,20,3,4.0,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0124
chain,20,3,4.0,1.5,200,mf,0.29267607096932047,0.8276924957214855,0.31075262698488715,0.23844640292262062,1,9,,,,,ve,0.0049
chain,20,3,4.0,1.5,200,lbp,9.42159467800976e-08,1.0464060108301976e-06,1.1176297963430299e-07,4.1574848217481444e-08,1,60,4.943855712591372e-07,,,,ve,0.0284
chain,20,3,4.0,1.5,200,gibbs,0.02978010648000341,0.06731702171477985,0.02681212240025089,0.038684058719260964,1,2000,,483.6,1.00424,2000,ve,8.961
chain,20,3,0.0,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.013
chain,20,3,0.0,0.5,201,mf,3.8701680749042565e-16,7.771561172376096e-16,4.1263289081901653e-16,3.1016855750465313e-16,1,1,,,,,ve,0.0009
chain,20,3,0.0,0.5,201,lbp,3.8961889270439086e-16,7.771561172376096e-16,4.260480856999038e-16,2.80331313717852e-16,1,3,0.0,,,,ve,0.0018
chain,20,3,0.0,0.5,201,gibbs,9.704216596961857e-15,1.777744618181032e-14,8.886641422733988e-15,1.2156942119645464e-14,1,2000,,8089.5,0.99964,2000,ve,8.0063
chain,20,3,0.1,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0137
chain,20,3,0.1,0.5,201,mf,0.00037561094245359625,0.0007032491876590649,0.0003538520608138473,0.00044088758737284296,1,4,,,,,ve,0.0023
chain,20,3,0.1,0.5,201,lbp,7.588322543574527e-08,1.6828799580259624e-07,7.7025611372461e-08,7.245606762559809e-08,1,17,1.368695206060977e-07,,,,ve,0.0073
chain,20,3,0.1,0.5,201,gibbs,0.0002115548871267324,0.0006105788255048317,0.000224079367448952,0.0001739814461600736,1,2000,,8050.8,0.99963,2000,ve,8.7752
chain,20,3,0.25,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0118
chain,20,3,0.25,0.5,201,mf,0.0024021430210617056,0.004699348261764061,0.0021923995741715534,0.003031373361732161,1,5,,,,,ve,0.0029
chain,20,3,0.25,0.5,201,lbp,7.613987312955415e-08,1.791713392651495e-07,7.518410908638473e-08,7.900716525906237e-08,1,19,1.5765304900439148e-07,,,,ve,0.0094
chain,20,3,0.25,0.5,201,gibbs,0.0004915873412217078,0.001376131014871232,0.0005414487723962127,0.0003420030476981934,1,2000,,7864.7,0.9997,2000,ve,8.3731
chain,20,3,0.5,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0198
chain,20,3,0.5,0.5,201,mf,0.010887327399355584,0.021308412523702608,0.00976881400258921,0.014242867589654706,1,8,,,,,ve,0.0063
chain,20,3,0.5,0.5,201,lbp,7.899211895050565e-08,1.740956658141668e-07,7.609828314344055e-08,8.767362637170095e-08,1,22,1.8555737940628703e-07,,,,ve,0.016
chain,20,3,0.5,0.5,201,gibbs,0.001295646176716501,0.003074090499626307,0.0013036013279063936,0.0012717807231468232,1,2000,,7076.5,0.99998,2000,ve,8.1657
chain,20,3,0.75,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.013
chain,20,3,0.75,0.5,201,mf,0.029176141515304864,0.05537393950828968,0.026479274899667022,0.037266741362218386,1,11,,,,,ve,0.0056
chain,20,3,0.75,0.5,201,lbp,1.4393285217425764e-07,2.7000564281620676e-07,1.4326255949303108e-07,1.4594373021793726e-07,1,25,2.438155825568167e-07,,,,ve,0.0128
chain,20,3,0.75,0.5,201,gibbs,0.0022160360740254535,0.005985297930982084,0.0021948943053505215,0.002279461380050249,1,2000,,6191.2,1.00022,2000,ve,22.998
chain,20,3,1.0,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0107
chain,20,3,1.0,0.5,201,mf,0.060544814102807654,0.1209396436434643,0.05646429793219178,0.07278636261465528,1,16,,,,,ve,0.0167
chain,20,3,1.0,0.5,201,lbp,2.3063286274539048e-07,5.60126567225594e-07,2.424633675404686e-07,1.9514134836015606e-07,1,28,3.150415870400991e-07,,,,ve,0.0266
chain,20,3,1.0,0.5,201,gibbs,0.0029363461824403842,0.007101887198335086,0.0027322000884404266,0.0035487844644402577,1,2000,,5363.9,1.00086,2000,ve,8.2202
chain,20,3,1.3,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0144
chain,20,3,1.3,0.5,201,mf,0.10669480773360562,0.1979869678983912,0.10157677838756175,0.12204889577173736,1,45,,,,,ve,0.0235
chain,20,3,1.3,0.5,201,lbp,3.296495560366902e-07,7.318053792532142e-07,3.484506504345767e-07,2.7324627284303073e-07,1,32,3.793866541479396e-07,,,,ve,0.0146
chain,20,3,1.3,0.5,201,gibbs,0.004170261155670122,0.01145209752642154,0.0037950499604060143,0.005295894741462445,1,2000,,4068.3,1.00149,2000,ve,8.3774
chain,20,3,1.75,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0124
chain,20,3,1.75,0.5,201,mf,0.24527050792613272,0.43557180940374735,0.247053360957593,0.23992194883175183,1,34,,,,,ve,0.0146
chain,20,3,1.75,0.5,201,lbp,1.6018836734997717e-07,4.075534340008957e-07,1.7131828313985779e-07,1.267986199803353e-07,1,42,4.281870050193426e-07,,,,ve,0.0147
chain,20,3,1.75,0.5,201,gibbs,0.006774897878364293,0.013854602967473643,0.005959908940217431,0.00921986469280488,1,2000,,3316.0,1.00173,2000,ve,7.6602
chain,20,3,2.5,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0144
chain,20,3,2.5,0.5,201,mf,0.31872486291993624,0.5745046845115448,0.32073772598758105,0.3126862737170019,1,30,,,,,ve,0.0165
chain,20,3,2.5,0.5,201,lbp,2.68042963710597e-07,1.5046989400996358e-06,2.3195627206068493e-07,3.7630303866033334e-07,1,54,6.002701811724798e-07,,,,ve,0.0256
chain,20,3,2.5,0.5,201,gibbs,0.010601988398767644,0.023113650612609768,0.011665428200039362,0.007411668994952487,1,2000,,1961.6,1.00233,2000,ve,8.4907
chain,20,3,4.0,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0103
chain,20,3,4.0,0.5,201,mf,0.4630351611974531,0.7878245867451216,0.4699756163205239,0.4422137958282407,1,40,,,,,ve,0.0186
chain,20,3,4.0,0.5,201,lbp,1.0126893267726339e-07,9.154504674868669e-07,1.0475462324845604e-07,9.081186096368543e-08,1,70,3.900908249754309e-07,,,,ve,0.0304
chain,20,3,4.0,0.5,201,gibbs,0.03326953087294049,0.06029410737497278,0.030511459844860027,0.04154374395718186,0,2000,,64.7,1.05242,2000,ve,7.6982
chain,20,3,0.0,1.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0257
chain,20,3,0.0,1.5,201,mf,6.83481049534862e-16,2.345346139520643e-15,7.11699218077418e-16,5.988265439071938e-16,1,1,,,,,ve,0.0009
chain,20,3,0.0,1.5,201,lbp,6.898995263959762e-16,2.3175905639050143e-15,7.172503332005438e-16,6.078471059822732e-16,1,3,0.0,,,,ve,0.0023
chain,20,3,0.0,1.5,201,gibbs,8.851946953214452e-15,1.597333376679444e-14,7.844650854830585e-15,1.187383524836605e-14,1,2000,,7818.7,1.00028,2000,ve,7.6632
