structure,n,C,beta,alpha,draw_seed,method,tv_mean,tv_max,tv_mean_informative,tv_mean_uninformative,converged,iters,final_residual,ess_min,rhat_max,gibbs_kept,exact_method,wall_seconds
cycle,16,3,0.0,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0068
cycle,16,3,0.0,0.5,200,mf,2.0252896582029223e-16,7.216449660063518e-16,2.122145052278294e-16,1.734723475976807e-16,1,1,,,,,ve,0.0013
cycle,16,3,0.0,0.5,200,lbp,1.9727058528373753e-16,7.632783294297951e-16,2.008665224891478e-16,1.8648277366750676e-16,1,3,0.0,,,,ve,0.0018
cycle,16,3,0.0,0.5,200,gibbs,6.194914373147675e-15,1.504352198367087e-14,5.5768468546861056e-15,8.049116928532385e-15,1,2000,,7725.8,1.00019,2000,ve,9.4444
cycle,16,3,0.1,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0171
cycle,16,3,0.1,0.5,200,mf,0.0003950952219266377,0.0007008530835388299,0.00043338912508715115,0.0002802135124450973,1,4,,,,,ve,0.0025
cycle,16,3,0.1,0.5,200,lbp,9.134983997244415e-08,3.15418321447658e-07,7.808963684453191e-08,1.3113044935618087e-07,1,17,1.7493558096548512e-07,,,,ve,0.0071
cycle,16,3,0.1,0.5,200,gibbs,0.00020783983582994126,0.000533962610395157,0.00019681827415825816,0.00024090452084499052,1,2000,,7687.7,1.00016,2000,ve,8.3431
cycle,16,3,0.25,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0136
cycle,16,3,0.25,0.5,200,mf,0.002466357906118722,0.004468303602910912,0.002663189770311439,0.001875862313540571,1,5,,,,,ve,0.008
cycle,16,3,0.25,0.5,200,lbp,1.0426126418304222e-07,3.0409849158252733e-07,9.887047129287253e-08,1.204336428535513e-07,1,19,1.870508247736602e-07,,,,ve,0.0219
cycle,16,3,0.25,0.5,200,gibbs,0.0005621339103737275,0.0015554929336373206,0.000543374312800628,0.0006184127030930261,1,2000,,7600.3,1.00015,2000,ve,7.8522
cycle,16,3,0.5,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0074
cycle,16,3,0.5,0.5,200,mf,0.010194467644611849,0.018251963277269398,0.010644039366636012,0.00884575247853936,1,6,,,,,ve,0.0029
cycle,16,3,0.5,0.5,200,lbp,6.645926988894718e-08,1.4692745192723677e-07,6.050366668301835e-08,8.432607950673368e-08,1,22,2.0459202704214974e-07,,,,ve,0.0097
cycle,16,3,0.5,0.5,200,gibbs,0.0010514354240683432,0.002490822790951532,0.0010170421175427129,0.0011546153436452341,1,2000,,7167.0,1.00072,2000,ve,8.4247
cycle,16,3,0.75,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.009
cycle,16,3,0.75,0.5,200,mf,0.023870566352066976,0.04175494823558772,0.024512940504850395,0.021943443893716715,1,7,,,,,ve,0.0029
cycle,16,3,0.75,0.5,200,lbp,1.0561437094216801e-07,2.0745607085675966e-07,9.828439056494206e-08,1.2760431207384584e-07,1,24,3.3316037534314447e-07,,,,ve,0.0076
cycle,16,3,0.75,0.5,200,gibbs,0.0010121827590174525,0.0026784357483278847,0.0010935598898841885,0.0007680513664172447,1,2000,,6668.5,1.00072,2000,ve,7.4937
cycle,16,3,1.0,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0084
cycle,16,3,1.0,0.5,200,mf,0.04358225677135087,0.07881547063583202,0.04542605998912397,0.038050847118031556,1,9,,,,,ve,0.0049
cycle,16,3,1.0,0.5,200,lbp,9.505932647426666e-08,1.5857066032465283e-07,1.0729107176339393e-07,5.836409060688483e-08,1,27,2.782786781008184e-07,,,,ve,0.0123
cycle,16,3,1.0,0.5,200,gibbs,0.0013838850494010339,0.0031111511946486543,0.001354744158776851,0.001471307721273582,1,2000,,6104.7,1.00047,2000,ve,8.4368
cycle,16,3,1.3,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0076
cycle,16,3,1.3,0.5,200,mf,0.07067970959535944,0.13671538757453372,0.07628481357705448,0.05386439765027428,1,11,,,,,ve,0.0062
cycle,16,3,1.3,0.5,200,lbp,1.6994825749200998e-07,5.63994059524231e-07,1.9733071855796563e-07,8.780087429414302e-08,1,29,3.8822025599793974e-07,,,,ve,0.0152
cycle,16,3,1.3,0.5,200,gibbs,0.0025634909108028132,0.008027871330195991,0.0026907808120658003,0.002181621207013853,1,2000,,5373.3,1.00057,2000,ve,7.8531
cycle,16,3,1.75,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0078
cycle,16,3,1.75,0.5,200,mf,0.11191731752051334,0.24544948387313992,0.1266408655245803,0.0677466735083125,1,16,,,,,ve,0.0079
cycle,16,3,1.75,0.5,200,lbp,3.7719164833733654e-07,8.808189865244093e-07,4.2172928993607344e-07,2.435787235411258e-07,1,36,3.446862369971271e-07,,,,ve,0.0167
cycle,16,3,1.75,0.5,200,gibbs,0.004154967730600557,0.010374860662665613,0.004832662949410629,0.0021218820741703438,1,2000,,4475.9,1.00036,2000,ve,9.5256
cycle,16,3,2.5,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0093
cycle,16,3,2.5,0.5,200,mf,0.25450227158475947,0.6407432061902483,0.3126198244469914,0.08014961299806363,1,27,,,,,ve,0.0147
cycle,16,3,2.5,0.5,200,lbp,1.0287753543767185e-05,2.456137013947396e-05,8.837606361242631e-06,1.4638195091340846e-05,1,50,3.76063657714365e-07,,,,ve,0.0253
cycle,16,3,2.5,0.5,200,gibbs,0.007719915538970373,0.02421845984648903,0.009467394065107495,0.002477479960559005,1,2000,,2085.6,1.00299,2000,ve,9.2421
cycle,16,3,4.0,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0099
cycle,16,3,4.0,0.5,200,mf,0.356416174344874,0.7208302707704128,0.4403137490780798,0.1047234501452566,1,14,,,,,ve,0.0083
cycle,16,3,4.0,0.5,200,lbp,0.0011888648726493954,0.002750048622657597,0.001014966397650441,0.00171056029764626,1,73,5.174399900775839e-07,,,,ve,0.0478
cycle,16,3,4.0,0.5,200,gibbs,0.030442875534300504,0.04315873824855225,0.033228031236205914,0.022087408428584254,0,2000,,299.6,1.01238,2000,ve,9.7489
cycle,16,3,0.0,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0087
cycle,16,3,0.0,1.5,200,mf,3.7426658994199613e-16,1.0824674490095276e-15,3.327777868082175e-16,4.98732999343332e-16,1,1,,,,,ve,0.001
cycle,16,3,0.0,1.5,200,lbp,3.788744491750595e-16,1.0824674490095276e-15,3.3458479042902667e-16,5.117434254131581e-16,1,3,0.0,,,,ve,0.0021
cycle,16,3,0.0,1.5,200,gibbs,5.294647099224337e-15,1.4210854715202004e-14,4.3790925746689524e-15,8.04131067289049e-15,1,2000,,7876.9,1.00019,2000,ve,9.945
cycle,16,3,0.1,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0129
cycle,16,3,0.1,1.5,200,mf,0.0002969280600044248,0.0005003844610335217,0.0003179768777105902,0.0002337816068859284,1,4,,,,,ve,0.003
cycle,16,3,0.1,1.5,200,lbp,7.783971766613497e-08,2.881579764801856e-07,5.8989217487917175e-08,1.3439121820078836e-07,1,17,1.7467902985179862e-07,,,,ve,0.0109
cycle,16,3,0.1,1.5,200,gibbs,0.00016269127948020001,0.000444419154991077,0.00014636982666519442,0.00021165563792521682,1,2000,,7826.1,1.00017,2000,ve,8.6463
cycle,16,3,0.25,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0079
cycle,16,3,0.25,1.5,200,mf,0.001836160007610405,0.0031105470729675157,0.0019388345454715416,0.0015281363940269953,1,5,,,,,ve,0.0025
cycle,16,3,0.25,1.5,200,lbp,9.113065661879409e-08,3.309241740079294e-07,7.865630472627648e-08,1.285537122963469e-07,1,19,2.0518168486471922e-07,,,,ve,0.0084
