structure,n,C,beta,alpha,draw_seed,method,tv_mean,tv_max,tv_mean_informative,tv_mean_uninformative,converged,iters,final_residual,ess_min,rhat_max,gibbs_kept,exact_method,wall_seconds
dense,14,3,0.0,0.5,200,exact,0.0,0.0,,,1,,,,,,enumerate,0.6045
dense,14,3,0.0,0.5,200,mf,7.359688255651317e-15,1.2947976024690888e-14,6.913913885853162e-15,8.474124180146703e-15,1,1,,,,,enumerate,0.0015
dense,14,3,0.0,0.5,200,lbp,7.306283554355174e-15,1.301736496372996e-14,6.8981279022217734e-15,8.326672684688674e-15,1,3,0.0,,,,enumerate,0.0008
dense,14,3,0.0,0.5,200,gibbs,4.9722131174283795e-15,1.3378187446733136e-14,4.383472751445794e-15,6.444064032384844e-15,1,2000,,7803.8,1.00012,2000,enumerate,15.4309
dense,14,3,0.1,0.5,200,exact,0.0,0.0,,,1,,,,,,enumerate,1.41
dense,14,3,0.1,0.5,200,mf,0.0013391629088844398,0.002345845133172396,0.0012431020928405164,0.0015793149489942483,1,6,,,,,enumerate,0.0144
dense,14,3,0.1,0.5,200,lbp,0.00011716424297190433,0.0002187986407168538,0.00011013669323075102,0.00013473311732478763,1,18,1.9930080069618938e-07,,,,enumerate,0.0184
dense,14,3,0.1,0.5,200,gibbs,0.000437328525367354,0.0009650872700690816,0.00044169264729997207,0.0004264182205358088,1,2000,,7812.2,0.99979,2000,enumerate,13.4071
dense,14,3,0.25,0.5,200,exact,0.0,0.0,,,1,,,,,,enumerate,1.1794
dense,14,3,0.25,0.5,200,mf,0.009873015835190154,0.020188320755249435,0.0088268514676603,0.012488426754014788,1,10,,,,,enumerate,0.0104
dense,14,3,0.25,0.5,200,lbp,0.0023825458103057143,0.005367596138738506,0.002128083986431756,0.0030187003699906102,1,27,4.86253959930405e-07,,,,enumerate,0.0107
dense,14,3,0.25,0.5,200,gibbs,0.000952389003950091,0.0017707353920219937,0.000928762322918939,0.0010114557065279712,1,2000,,6735.2,0.99979,2000,enumerate,13.23
dense,14,3,0.5,0.5,200,exact,0.0,0.0,,,1,,,,,,enumerate,1.1755
dense,14,3,0.5,0.5,200,mf,0.1226251480418691,0.2235183483578307,0.12043883208027073,0.128090937945865,1,19,,,,,enumerate,0.0217
dense,14,3,0.5,0.5,200,lbp,0.06793094692084549,0.12174217872888916,0.06535642171144922,0.07436725994433621,1,64,6.829781123984802e-07,,,,enumerate,0.0332
dense,14,3,0.5,0.5,200,gibbs,0.001963556475120942,0.003684087565316324,0.0019189210859657663,0.0020751449480088816,1,2000,,2374.0,1.00099,2000,enumerate,13.8444
dense,14,3,0.75,0.5,200,exact,0.0,0.0,,,1,,,,,,enumerate,1.7068
dense,14,3,0.75,0.5,200,mf,0.057368877573300066,0.08957990989029146,0.05993184823323007,0.05096145092347507,1,10,,,,,enumerate,0.018
dense,14,3,0.75,0.5,200,lbp,0.0474886714246126,0.06103670898872073,0.047870227130890675,0.04653478215891739,1,38,3.7929043783524463e-07,,,,enumerate,0.1118
dense,14,3,0.75,0.5,200,gibbs,0.008467830103924313,0.011148794853640537,0.008809193284585216,0.007614422152272057,1,2000,,825.2,1.00688,2000,enumerate,15.3106
dense,14,3,1.0,0.5,200,exact,0.0,0.0,,,1,,,,,,enumerate,1.429
dense,14,3,1.0,0.5,200,mf,0.030401104506085828,0.03638506378982008,0.030961355419836162,0.029000477221709987,1,7,,,,,enumerate,0.0087
dense,14,3,1.0,0.5,200,lbp,0.02843257817418205,0.0304347837275876,0.028521499143635415,0.028210275750548647,1,32,2.383243827841497e-07,,,,enumerate,0.0133
dense,14,3,1.0,0.5,200,gibbs,0.028428698242949295,0.03019325454239312,0.028540769987774793,0.028148518880885542,1,2000,,7136.1,0.99966,2000,enumerate,14.8179
dense,14,3,1.3,0.5,200,exact,0.0,0.0,,,1,,,,,,enumerate,1.4871
dense,14,3,1.3,0.5,200,mf,0.02262605113121358,0.023288881353546554,0.022682615545085445,0.022484640096533913,1,6,,,,,enumerate,0.0098
dense,14,3,1.3,0.5,200,lbp,0.022384904838248683,0.022821847045360163,0.02240827848881602,0.022326470711830353,1,29,2.718427164483117e-07,,,,enumerate,0.0182
dense,14,3,1.3,0.5,200,gibbs,0.22223424473524322,0.2286205061148333,0.22433281950110445,0.2169878078205901,0,2000,,6.2,1.70846,2000,enumerate,13.9688
dense,14,3,1.75,0.5,200,exact,0.0,0.0,,,1,,,,,,enumerate,1.2231
dense,14,3,1.75,0.5,200,mf,0.020186042515664325,0.02024739408027821,0.020190450284192696,0.020175023094343398,1,6,,,,,enumerate,0.0075
dense,14,3,1.75,0.5,200,lbp,0.020174996940914635,0.02023896734190519,0.02017956115741266,0.020163586399669566,1,28,2.038915568602917e-07,,,,enumerate,0.0137
dense,14,3,1.75,0.5,200,gibbs,0.2388783022952811,0.24015743503889422,0.23945569948794915,0.2374348093136109,0,2000,,4.9,2.37241,2000,enumerate,13.7398
dense,14,3,2.5,0.5,200,exact,0.0,0.0,,,1,,,,,,enumerate,1.1683
dense,14,3,2.5,0.5,200,mf,0.48614288844813597,0.9898809465021654,0.498729064005839,0.4546774495538783,1,9,,,,,enumerate,0.0109
dense,14,3,2.5,0.5,200,lbp,0.019764345644835892,0.01976737210339593,0.01976459864932382,0.019763713133616054,1,27,1.5168401934495535e-07,,,,enumerate,0.0155
dense,14,3,2.5,0.5,200,gibbs,0.24031062149248994,0.2403737263559985,0.24034115774685225,0.2402342808565842,0,2000,,4.2,5.48888,2000,enumerate,13.6253
dense,14,3,4.0,0.5,200,exact,0.0,0.0,,,1,,,,,,enumerate,1.2051
dense,14,3,4.0,0.5,200,mf,0.9903836200535049,0.990384245752572,0.9903839396022525,0.9903828211816361,1,3,,,,,enumerate,0.004
dense,14,3,4.0,0.5,200,lbp,0.019743940430317887,0.019743947759980687,0.019743941105241393,0.01974393874300913,1,26,1.534955424986606e-07,,,,enumerate,0.0119
dense,14,3,4.0,0.5,200,gibbs,0.24038409236216013,0.24038424575257267,0.24038416931645085,0.2403838999764334,0,2000,,4.0,5617601238189621.0,2000,enumerate,13.6651
dense,14,3,0.0,1.5,200,exact,0.0,0.0,,,1,,,,,,enumerate,0.6591
dense,14,3,0.0,1.5,200,mf,6.1035625958145396e-15,1.557087792036782e-14,6.4773707231235985e-15,5.169042277541891e-15,1,1,,,,,enumerate,0.0013
dense,14,3,0.0,1.5,200,lbp,6.04842317104242e-15,1.5751289161869408e-14,6.4619316841874056e-15,5.014651888179955e-15,1,3,0.0,,,,enumerate,0.0013
dense,14,3,0.0,1.5,200,gibbs,6.630237034003069e-15,1.762479051592436e-14,5.452409357342702e-15,9.574806225653987e-15,1,2000,,7676.0,1.00029,2000,enumerate,13.4174
dense,14,3,0.1,1.5,200,exact,0.0,0.0,,,1,,,,,,enumerate,1.2087
dense,14,3,0.1,1.5,200,mf,0.0011666747454333079,0.0021385037802797643,0.0010791741994009853,0.0013854261105141143,1,6,,,,,enumerate,0.0066
dense,14,3,0.1,1.5,200,lbp,9.10171822189898e-05,0.0001791670297478093,8.336594797704391e-05,0.00011014526782385453,1,19,2.126356294929188e-07,,,,enumerate,0.0085
dense,14,3,0.1,1.5,200,gibbs,0.0001675872152944196,0.0004019138789694357,0.00017241776312979014,0.00015551084570599328,1,2000,,7902.1,1.00068,2000,enumerate,13.9746
dense,14,3,0.25,1.5,200,exact,0.0,0.0,,,1,,,,,,enumerate,1.368
dense,14,3,0.25,1.5,200,mf,0.00867042255873452,0.020031090337879337,0.008157942267823442,0.009951623286012217,1,9,,,,,enumerate,0.0093
dense,14,3,0.25,1.5,200,lbp,0.0018598451892532194,0.004438633629996816,0.001744943865347381,0.002147098499017815,1,27,4.036818501140793e-07,,,,enumerate,0.013
dense,14,3,0.25,1.5,200,gibbs,0.0008997760479842939,0.002523925215272331,0.0008775876021298188,0.0009552471626204815,1,2000,,6785.3,1.00061,2000,enumerate,13.5968
dense,14,3,0.5,1.5,200,exact,0.0,0.0,,,1,,,,,,enumerate,1.2656
dense,14,3,0.5,1.5,200,mf,0.03495822557368501,0.09376844216529333,0.029783894194718302,0.04789405402110178,1,16,,,,,enumerate,0.0178
dense,14,3,0.5,1.5,200,lbp,0.01499717488842781,0.03263728268327672,0.013411045144158019,0.018962499249102302,1,44,4.4888000488851887e-07,,,,enumerate,0.0258
dense,14,3,0.5,1.5,200,gibbs,0.003144247955259746,0.006453957376047745,0.003102026105347893,0.0032498025800393794,1,2000,,4103.1,1.00044,2000,enumerate,28.9801
dense,14,3,0.75,1.5,200,exact,0.0,0.0,,,1,,,,,,enumerate,1.3582
dense,14,3,0.75,1.5,200,mf,0.03706082969390872,0.11095598646062074,0.03869870878661087,0.032966131962153325,1,18,,,,,enumerate,0.0157
dense,14,3,0.75,1.5,200,lbp,0.01926876929156154,0.0480574700947253,0.01834785605129035,0.02157105239223952,1,48,5.570957112843722e-07,,,,enumerate,0.0162
dense,14,3,0.75,1.5,200,gibbs,0.003203519365975785,0.00432128237225074,0.003551965461191864,0.002332404127935589,1,2000,,2446.1,1.0019,2000,enumerate,12.2902
dense,14,3,1.0,1.5,200,exact,0.0,0.0,,,1,,,,,,enumerate,1.1532
dense,14,3,1.0,1.5,200,mf,0.02188875980834078,0.061635332523910055,0.025854034678875704,0.01197557263200348,1,10,,,,,enumerate,0.0104
dense,14,3,1.0,1.5,200,lbp,0.012298704602799637,0.023328933567202777,0.013091378671835529,0.010317019430209906,1,39,3.0204733680871954e-07,,,,enumerate,0.0171
dense,14,3,1.0,1.5,200,gibbs,0.009086969888327844,0.012521909998178418,0.009412291913758229,0.008273664824751881,1,2000,,5117.4,1.0007,2000,enumerate,12.8031
dense,14,3,1.3,1.5,200,exact,0.0,0.0,,,1,,,,,,enumerate,1.4595
dense,14,3,1.3,1.5,200,mf,0.010358480636793654,0.014107240479539828,0.010796914530387568,0.009262395902808874,1,7,,,,,enumerate,0.0064
dense,14,3,1.3,1.5,200,lbp,0.009112233369048515,0.010061879373498787,0.009186498494593303,0.008926570555186543,1,33,1.9035059262151321e-07,,,,enumerate,0.0215
dense,14,3,1.3,1.5,200,gibbs,0.24050879200316086,0.2498877667742205,0.2376122168182671,0.24775022996539528,0,2000,,5.7,1.84901,2000,enumerate,12.6225
