structure,n,C,beta,alpha,draw_seed,method,tv_mean,tv_max,tv_mean_informative,tv_mean_uninformative,converged,iters,final_residual,ess_min,rhat_max,gibbs_kept,exact_method,wall_seconds
grid,16,3,0.0,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0076
grid,16,3,0.0,0.5,200,mf,2.2112303307841863e-16,7.216449660063518e-16,2.2659825404947043e-16,2.0469737016526324e-16,1,1,,,,,ve,0.0014
grid,16,3,0.0,0.5,200,lbp,2.312061132825338e-16,8.743006318923108e-16,2.3845219780197862e-16,2.0946785972419946e-16,1,3,0.0,,,,ve,0.0017
grid,16,3,0.0,0.5,200,gibbs,6.185536024355676e-15,1.504352198367087e-14,5.553934048774245e-15,8.080341951099967e-15,1,2000,,8034.9,1.00107,2000,ve,9.4424
grid,16,3,0.1,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0156
grid,16,3,0.1,0.5,200,mf,0.0005734183080106014,0.0012572288670968084,0.0006250412425589043,0.0004185495043656927,1,4,,,,,ve,0.0032
grid,16,3,0.1,0.5,200,lbp,5.274538667482788e-07,1.5462008264750804e-06,6.224843629057224e-07,2.423623782759482e-07,1,17,2.1110425857395754e-07,,,,ve,0.0104
grid,16,3,0.1,0.5,200,gibbs,0.00036195123734670165,0.0009309007287858911,0.0003310590084081739,0.0004546279241622849,1,2000,,7833.2,1.00097,2000,ve,8.1309
grid,16,3,0.25,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0359
grid,16,3,0.25,0.5,200,mf,0.0036598259714797285,0.00813131849575061,0.003946218420793593,0.002800648623538134,1,5,,,,,ve,0.0062
grid,16,3,0.25,0.5,200,lbp,1.952779107046752e-05,5.753735945946987e-05,2.2916301216522135e-05,9.362260632303672e-06,1,19,2.3303810964270255e-07,,,,ve,0.0299
grid,16,3,0.25,0.5,200,gibbs,0.0007890792122503815,0.00231495272021625,0.0006771696710713139,0.0011248078357875843,1,2000,,7631.9,1.0003,2000,ve,7.8566
grid,16,3,0.5,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0097
grid,16,3,0.5,0.5,200,mf,0.014891096037709644,0.03299286459384949,0.015774209655012136,0.012241755185802176,1,7,,,,,ve,0.0038
grid,16,3,0.5,0.5,200,lbp,0.00030535297424391005,0.0008549410419673347,0.00035298080806811104,0.00016246947277130707,1,22,2.178404633346176e-07,,,,ve,0.0103
grid,16,3,0.5,0.5,200,gibbs,0.001581172669181825,0.0043854657043319555,0.0013992986444503468,0.0021267947433762594,1,2000,,6966.8,1.00012,2000,ve,8.388
grid,16,3,0.75,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0129
grid,16,3,0.75,0.5,200,mf,0.033677983991064434,0.0718951567885027,0.034969301804035104,0.029804030552152395,1,9,,,,,ve,0.0059
