structure,n,C,beta,alpha,draw_seed,method,tv_mean,tv_max,tv_mean_informative,tv_mean_uninformative,converged,iters,final_residual,ess_min,rhat_max,gibbs_kept,exact_method,wall_seconds
star,16,3,0.0,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.008
star,16,3,0.0,0.5,200,mf,2.3115190317390955e-16,7.216449660063518e-16,2.3997008084345833e-16,2.0469737016526324e-16,1,1,,,,,ve,0.0013
star,16,3,0.0,0.5,200,lbp,2.334829378447534e-16,7.216449660063518e-16,2.4423460938856795e-16,2.0122792321330962e-16,1,3,0.0,,,,ve,0.0015
star,16,3,0.0,0.5,200,gibbs,6.166291435794058e-15,1.504352198367087e-14,5.528274597358755e-15,8.080341951099967e-15,1,2000,,7812.8,1.00029,2000,ve,9.2149
star,16,3,0.1,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0129
star,16,3,0.1,0.5,200,mf,0.00038486449148022843,0.0037742625735260604,0.0004828214778816505,9.099353227596217e-05,1,4,,,,,ve,0.0013
star,16,3,0.1,0.5,200,lbp,4.167202576250712e-08,1.1249752041031513e-07,3.856076386194243e-08,5.100581146420119e-08,1,17,1.4527926289753523e-07,,,,ve,0.0038
star,16,3,0.1,0.5,200,gibbs,0.00015507479335405313,0.00022491477214776207,0.00015451182838901946,0.00015676368824915415,1,2000,,7916.0,1.00004,2000,ve,7.7817
star,16,3,0.25,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.014
star,16,3,0.25,0.5,200,mf,0.0029384080070632207,0.024738180831528095,0.00370520887440561,0.0006380054050360517,1,6,,,,,ve,0.0032
star,16,3,0.25,0.5,200,lbp,1.1522346847687211e-07,2.5637923220349357e-07,1.3122787303019903e-07,6.721025481689138e-08,1,18,2.2481165173893203e-07,,,,ve,0.0142
star,16,3,0.25,0.5,200,gibbs,0.00048626705480362347,0.000730381366312937,0.00048076701639401223,0.0005027671700324572,1,2000,,7894.8,0.99993,2000,ve,8.1193
star,16,3,0.5,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0077
star,16,3,0.5,0.5,200,mf,0.01902224821915112,0.10877739216486344,0.02216135973016714,0.009604913686103046,1,10,,,,,ve,0.0029
star,16,3,0.5,0.5,200,lbp,9.960399100292358e-08,2.2283520879386176e-07,1.1230573737142958e-07,6.149875189740556e-08,1,21,2.2340338617921063e-07,,,,ve,0.0102
star,16,3,0.5,0.5,200,gibbs,0.0007977563988858449,0.0011983351423096276,0.000803425595525247,0.0007807488089676385,1,2000,,7584.2,0.99995,2000,ve,8.1304
star,16,3,0.75,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0099
star,16,3,0.75,0.5,200,mf,0.0583215830938581,0.24744423055338755,0.06455487906289877,0.03962169518673608,1,11,,,,,ve,0.0037
star,16,3,0.75,0.5,200,lbp,7.723499778297151e-08,1.6457496962961338e-07,8.494553499248265e-08,5.410338615443808e-08,1,23,1.7506859656402085e-07,,,,ve,0.0135
star,16,3,0.75,0.5,200,gibbs,0.0008579203625815018,0.0012755975961503546,0.000833045239971264,0.000932545730412215,1,2000,,7505.6,1.00014,2000,ve,7.4296
star,16,3,1.0,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0071
star,16,3,1.0,0.5,200,mf,0.10750880589234968,0.36161774236844957,0.11538639748917208,0.08387603110188256,1,9,,,,,ve,0.0026
star,16,3,1.0,0.5,200,lbp,8.483533113837465e-08,1.7266301428897624e-07,9.164400721628496e-08,6.440930290464372e-08,1,24,1.887304357794939e-07,,,,ve,0.011
star,16,3,1.0,0.5,200,gibbs,0.0016914088117953928,0.006521243791144639,0.0017865248319599934,0.0014060607513015906,1,2000,,7538.5,1.00031,2000,ve,8.3402
star,16,3,1.3,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0078
star,16,3,1.3,0.5,200,mf,0.16861269163911236,0.4521824250090466,0.1771812460911332,0.1429070282830498,1,7,,,,,ve,0.0036
star,16,3,1.3,0.5,200,lbp,8.768515824439079e-08,1.677019626691173e-07,9.264188991152447e-08,7.281496324298975e-08,1,25,1.8234177745490854e-07,,,,ve,0.0127
star,16,3,1.3,0.5,200,gibbs,0.011764024376172912,0.028216730341159395,0.012291876895795611,0.01018046681730481,1,2000,,5476.0,1.00021,2000,ve,7.8734
star,16,3,1.75,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.009
star,16,3,1.75,0.5,200,mf,0.27673827302116316,0.5684935306079062,0.28535150247060165,0.25089858467284776,1,6,,,,,ve,0.0019
star,16,3,1.75,0.5,200,lbp,9.51909539684357e-08,1.6573873072578404e-07,9.776269391046043e-08,8.747573414236154e-08,1,26,1.6638762467824364e-07,,,,ve,0.0131
star,16,3,1.75,0.5,200,gibbs,0.01932921846638698,0.04041145069526424,0.0199250711196587,0.017541660506571813,1,2000,,1355.6,1.00454,2000,ve,9.3609
star,16,3,2.5,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0096
star,16,3,2.5,0.5,200,mf,0.21507515925312853,0.32800568380141043,0.2169006587225287,0.20959866084492806,1,4,,,,,ve,0.0019
star,16,3,2.5,0.5,200,lbp,1.9084461151382213e-07,2.9412515009652473e-07,1.904529300559022e-07,1.9201965588758196e-07,1,26,2.493708364248448e-07,,,,ve,0.0136
star,16,3,2.5,0.5,200,gibbs,0.03824836382890271,0.061701910446129896,0.03858296212037007,0.03724456895450062,0,2000,,47.7,1.05654,2000,ve,9.2526
star,16,3,4.0,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0103
star,16,3,4.0,0.5,200,mf,0.13868778822971856,0.15803835739767697,0.13955666292029312,0.13608116415799482,1,3,,,,,ve,0.0015
star,16,3,4.0,0.5,200,lbp,1.5129056249837047e-07,2.7148837431975603e-07,1.4652495941403233e-07,1.655873717513849e-07,1,27,2.3865980802728615e-07,,,,ve,0.0157
star,16,3,4.0,0.5,200,gibbs,0.5102807350709913,0.5919616424522053,0.5178891555909653,0.4874554735110689,0,2000,,10.4,1.28985,2000,ve,9.8607
star,16,3,0.0,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0091
star,16,3,0.0,1.5,200,mf,4.0245584642661925e-16,1.0824674490095276e-15,3.703634621210483e-16,4.98732999343332e-16,1,1,,,,,ve,0.0009
star,16,3,0.0,1.5,200,lbp,4.082563280494167e-16,1.0824674490095276e-15,3.769409553007937e-16,5.022024462952857e-16,1,3,0.0,,,,ve,0.0022
star,16,3,0.0,1.5,200,gibbs,5.3607834317459524e-15,1.4210854715202004e-14,4.46727435136444e-15,8.04131067289049e-15,1,2000,,8049.6,1.00068,2000,ve,9.2943
star,16,3,0.1,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.027
star,16,3,0.1,1.5,200,mf,0.0002002427108751347,0.002256723821210161,0.0002512347105063809,4.726671198139595e-05,1,4,,,,,ve,0.0067
star,16,3,0.1,1.5,200,lbp,5.730340840433366e-08,1.0196530073752763e-07,5.405084448131351e-08,6.706110017339409e-08,1,17,1.6085584497727012e-07,,,,ve,0.0226
star,16,3,0.1,1.5,200,gibbs,6.585891541822497e-05,0.00015566923370699884,6.798427038614298e-05,5.948285051447094e-05,1,2000,,8160.3,1.0005,2000,ve,9.3791
star,16,3,0.25,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0092
star,16,3,0.25,1.5,200,mf,0.0017905230099189383,0.01639369581804972,0.0021955258729150734,0.0005755144209305322,1,5,,,,,ve,0.0018
star,16,3,0.25,1.5,200,lbp,1.0759192050241754e-07,1.8305206638587895e-07,1.0765343835462671e-07,1.0740736694579006e-07,1,18,2.605603978134141e-07,,,,ve,0.0076
star,16,3,0.25,1.5,200,gibbs,0.00028218572704971683,0.0006818666400911499,0.00029040563472066246,0.0002575260040368799,1,2000,,7945.5,0.99999,2000,ve,8.4978
star,16,3,0.5,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0091
star,16,3,0.5,1.5,200,mf,0.013580336171185843,0.07956886272562794,0.015339926815297627,0.0083015642388505,1,8,,,,,ve,0.0025
star,16,3,0.5,1.5,200,lbp,7.050935435425824e-08,1.443634627643249e-07,7.181339924917553e-08,6.659721966950638e-08,1,22,1.7746173652799513e-07,,,,ve,0.0091
star,16,3,0.5,1.5,200,gibbs,0.000636640372391978,0.001296516696526171,0.0006529973970893275,0.0005875692982999295,1,2000,,7739.2,1.0,2000,ve,7.5983
star,16,3,0.75,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0076
star,16,3,0.75,1.5,200,mf,0.04683341346400578,0.19852332902052966,0.050453929888892836,0.03597186418934464,1,10,,,,,ve,0.003
star,16,3,0.75,1.5,200,lbp,6.617473191812551e-08,1.3318063346329928e-07,6.652934253937454e-08,6.511090005437842e-08,1,24,1.675493711550402e-07,,,,ve,0.0108
star,16,3,0.75,1.5,200,gibbs,0.0020049255488967677,0.0035466682500525527,0.0020330475699883396,0.0019205594856220544,1,2000,,7799.3,0.99985,2000,ve,8.7128
star,16,3,1.0,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0073
star,16,3,1.0,1.5,200,mf,0.10279742169386469,0.3416174998495055,0.1076098570076363,0.08836011575254984,1,9,,,,,ve,0.0025
star,16,3,1.0,1.5,200,lbp,8.133619042809104e-08,1.582875214906597e-07,8.098714172447673e-08,8.238333653893398e-08,1,25,1.8249906941214533e-07,,,,ve,0.0115
star,16,3,1.0,1.5,200,gibbs,0.0037980736781265427,0.01205782482465518,0.003954528671557146,0.0033287086978347332,1,2000,,6914.6,0.99993,2000,ve,7.7203
