structure,n,C,beta,alpha,draw_seed,method,tv_mean,tv_max,tv_mean_informative,tv_mean_uninformative,converged,iters,final_residual,ess_min,rhat_max,gibbs_kept,exact_method,wall_seconds
tree,15,3,0.0,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0054
tree,15,3,0.0,0.5,200,mf,2.9744725201415653e-16,5.412337245047638e-16,3.17296693969576e-16,2.42861286636753e-16,1,1,,,,,ve,0.0016
tree,15,3,0.0,0.5,200,lbp,3.0253577421035517e-16,5.412337245047638e-16,3.2108154518988903e-16,2.5153490401663703e-16,1,3,0.0,,,,ve,0.0016
tree,15,3,0.0,0.5,200,gibbs,8.900287914078339e-15,1.849909114781667e-14,9.32271936416772e-15,7.738601426332536e-15,1,2000,,7714.8,1.00055,2000,ve,8.9122
tree,15,3,0.1,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0102
tree,15,3,0.1,0.5,200,mf,0.0004142712256095265,0.0010934080636345739,0.0003950250365939339,0.00046719824540240613,1,4,,,,,ve,0.0015
tree,15,3,0.1,0.5,200,lbp,1.0219020580293225e-07,2.1758450269998564e-07,1.0274324530803257e-07,1.0066934716390641e-07,1,17,1.9316375382549822e-07,,,,ve,0.0043
tree,15,3,0.1,0.5,200,gibbs,0.00012492139344417384,0.000291778716219028,0.00010258229042511645,0.0001863539267465816,1,2000,,7711.4,1.00053,2000,ve,7.4912
tree,15,3,0.25,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0089
tree,15,3,0.25,0.5,200,mf,0.002879476175803286,0.006864801992093269,0.0027150402050100117,0.0033316750954847903,1,5,,,,,ve,0.0133
tree,15,3,0.25,0.5,200,lbp,1.208040219170814e-07,2.8283726439398693e-07,9.519822139241287e-08,1.9121997335991986e-07,1,19,2.4531999853749653e-07,,,,ve,0.0155
tree,15,3,0.25,0.5,200,gibbs,0.0003462557174373953,0.0007006874946843163,0.0003031416979033643,0.0004648192711559805,1,2000,,7686.6,1.00033,2000,ve,8.2896
tree,15,3,0.5,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0064
tree,15,3,0.5,0.5,200,mf,0.01298935028711422,0.02932058832999754,0.012114124650035944,0.015396220789079477,1,7,,,,,ve,0.0025
tree,15,3,0.5,0.5,200,lbp,1.458696680040524e-07,3.7972325988427924e-07,1.4359237538118366e-07,1.5213222271694138e-07,1,22,3.1401521338736416e-07,,,,ve,0.0063
tree,15,3,0.5,0.5,200,gibbs,0.0007297385964741714,0.0014542625018153649,0.0006745001641187608,0.0008816442854515509,1,2000,,6924.0,1.00067,2000,ve,8.3968
tree,15,3,0.75,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0101
tree,15,3,0.75,0.5,200,mf,0.030479637809365193,0.06537017683137529,0.028211003100990586,0.03671838325739537,1,8,,,,,ve,0.0059
tree,15,3,0.75,0.5,200,lbp,1.3807717099550976e-07,5.139372128981634e-07,1.3962685956426701e-07,1.3381552743142733e-07,1,25,3.1199743855125917e-07,,,,ve,0.0143
tree,15,3,0.75,0.5,200,gibbs,0.0012706978578263034,0.0021599799304304543,0.0010987037689487208,0.0017436816022396552,1,2000,,6476.0,1.0011,2000,ve,7.6354
tree,15,3,1.0,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0068
tree,15,3,1.0,0.5,200,mf,0.05511376478887712,0.13847957563578378,0.05154060589234257,0.06493995175434711,1,12,,,,,ve,0.0054
tree,15,3,1.0,0.5,200,lbp,8.429005996244202e-08,3.4897967080005365e-07,8.731942739956003e-08,7.595929951036747e-08,1,28,2.2954667650010308e-07,,,,ve,0.0114
tree,15,3,1.0,0.5,200,gibbs,0.002153669378230081,0.006725740091965197,0.0016342913783627506,0.0035819588778652394,1,2000,,5659.7,1.0007,2000,ve,8.3463
tree,15,3,1.3,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0064
tree,15,3,1.3,0.5,200,mf,0.0954796311958924,0.25336944597883415,0.09162241994173197,0.10608696214483358,1,13,,,,,ve,0.0063
tree,15,3,1.3,0.5,200,lbp,1.0574881823564285e-07,3.388745843935226e-07,1.0789768789432684e-07,9.98394266742619e-08,1,30,2.2355393808348722e-07,,,,ve,0.0127
tree,15,3,1.3,0.5,200,gibbs,0.003682154753198293,0.00787976057760043,0.0032082453806189172,0.004985405527791576,1,2000,,5145.2,1.00062,2000,ve,7.7669
tree,15,3,1.75,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0077
tree,15,3,1.75,0.5,200,mf,0.15775773470027285,0.4177518174060323,0.15451050634050933,0.16668761268962243,1,10,,,,,ve,0.0057
tree,15,3,1.75,0.5,200,lbp,1.5484646824793595e-07,3.370682893459598e-07,1.5660150286914742e-07,1.500201230396044e-07,1,32,3.18973135349232e-07,,,,ve,0.0158
tree,15,3,1.75,0.5,200,gibbs,0.006345372285996726,0.012547927403069582,0.005928097934144308,0.007492876753590872,1,2000,,3197.0,1.00134,2000,ve,9.1754
tree,15,3,2.5,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0072
tree,15,3,2.5,0.5,200,mf,0.2706215573340694,0.644847569305373,0.26672096101947135,0.2813481971992141,1,7,,,,,ve,0.0075
tree,15,3,2.5,0.5,200,lbp,7.708335429027948e-08,2.229967923780482e-07,7.831150625535686e-08,7.370593638631666e-08,1,36,3.1921327381390086e-07,,,,ve,0.0244
tree,15,3,2.5,0.5,200,gibbs,0.013259136980561245,0.028948101554426883,0.01255349169456067,0.015199661517062825,1,2000,,1099.9,1.00221,2000,ve,9.3558
tree,15,3,4.0,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0074
tree,15,3,4.0,0.5,200,mf,0.4365682120934614,0.9145922598602065,0.433604575600363,0.4447182124494823,1,5,,,,,ve,0.0039
tree,15,3,4.0,0.5,200,lbp,3.646489784116945e-08,1.2624629084972624e-07,3.792426636171815e-08,3.24516344096605e-08,1,39,2.596062076420935e-07,,,,ve,0.0236
tree,15,3,4.0,0.5,200,gibbs,0.12203209285095576,0.13966335211997327,0.1219012426214564,0.12239193098207905,0,2000,,21.6,1.11702,2000,ve,9.706
tree,15,3,0.0,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0071
tree,15,3,0.0,1.5,200,mf,3.1895782311626894e-16,5.551115123125783e-16,3.109886086023876e-16,3.408731630294426e-16,1,1,,,,,ve,0.001
tree,15,3,0.0,1.5,200,lbp,3.0693040701616308e-16,5.551115123125783e-16,3.065729488453557e-16,3.0791341698588326e-16,1,3,0.0,,,,ve,0.0019
tree,15,3,0.0,1.5,200,gibbs,5.862671459411217e-15,1.1889794704345036e-14,5.224356301105424e-15,7.618038144752148e-15,1,2000,,7677.0,1.0006,2000,ve,9.1201
tree,15,3,0.1,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0106
tree,15,3,0.1,1.5,200,mf,0.00039611783213121325,0.0009448193490174464,0.00041129237330215276,0.0003543878439111296,1,4,,,,,ve,0.0048
tree,15,3,0.1,1.5,200,lbp,1.0249893142276942e-07,2.1548738872098627e-07,9.582999587898967e-08,1.2083850416816366e-07,1,17,1.9533066814014788e-07,,,,ve,0.0172
tree,15,3,0.1,1.5,200,gibbs,0.000116422889071686,0.0003731885900726678,5.618326483562823e-05,0.0002820818557208449,1,2000,,7758.8,1.00048,2000,ve,9.525
tree,15,3,0.25,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0076
tree,15,3,0.25,1.5,200,mf,0.0025367235463660672,0.00558257568386308,0.0025856080989123944,0.002402291026863666,1,5,,,,,ve,0.0029
tree,15,3,0.25,1.5,200,lbp,1.1955531407162324e-07,2.7574987416026375e-07,1.0390309059381896e-07,1.62598928635585e-07,1,19,2.811138505309785e-07,,,,ve,0.0091
tree,15,3,0.25,1.5,200,gibbs,0.0003596309450756976,0.0012187613354679508,0.0002148253003117,0.0007578464681766909,1,2000,,7535.4,1.00048,2000,ve,8.4842
tree,15,3,0.5,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0076
tree,15,3,0.5,1.5,200,mf,0.010102194907160947,0.018697033809063193,0.01016907935920201,0.009918262664048026,1,6,,,,,ve,0.0047
tree,15,3,0.5,1.5,200,lbp,9.711200165534821e-08,2.641829954519448e-07,9.393022867385602e-08,1.0586187735445174e-07,1,22,3.0034276699009155e-07,,,,ve,0.0133
tree,15,3,0.5,1.5,200,gibbs,0.0006943037461654653,0.002096124049786062,0.0004899118086694232,0.0012563815742795813,1,2000,,6680.0,1.00092,2000,ve,7.5786
tree,15,3,0.75,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0064
tree,15,3,0.75,1.5,200,mf,0.021597713815150646,0.043201472052073156,0.021722863887252617,0.021253551116870203,1,8,,,,,ve,0.0043
tree,15,3,0.75,1.5,200,lbp,6.063653434183516e-08,2.084784872131984e-07,6.251499268912876e-08,5.547077388677775e-08,1,25,2.5262486447186205e-07,,,,ve,0.0122
tree,15,3,0.75,1.5,200,gibbs,0.0009628788199853661,0.002737577176068408,0.0006967358853890381,0.001694771890125268,1,2000,,6280.4,1.0014,2000,ve,8.5977
tree,15,3,1.0,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.006
tree,15,3,1.0,1.5,200,mf,0.03599181003030288,0.07559139690960151,0.036410995303450516,0.03483905052914689,1,12,,,,,ve,0.0053
tree,15,3,1.0,1.5,200,lbp,6.171631049909503e-08,2.309619927705342e-07,6.217931682000453e-08,6.044304311659393e-08,1,27,3.1560388963347563e-07,,,,ve,0.0106
tree,15,3,1.0,1.5,200,gibbs,0.0013653388784729992,0.004376542864750706,0.0011512231551890338,0.001954157117503905,1,2000,,5842.3,1.00118,2000,ve,7.7749
tree,15,3,1.3,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0064
tree,15,3,1.3,1.5,200,mf,0.05546528958622489,0.11655613931956207,0.05623053333316757,0.05336086928213252,1,19,,,,,ve,0.0115
tree,15,3,1.3,1.5,200,lbp,6.508494106106123e-08,2.1523687104493816e-07,6.428748420238273e-08,6.72779474224271e-08,1,29,2.9819796087959816e-07,,,,ve,0.0127
tree,15,3,1.3,1.5,200,gibbs,0.0016706624706865395,0.004921511978603112,0.0017771757244178824,0.0013777510229253471,1,2000,,5372.8,1.0001,2000,ve,8.3772
tree,15,3,1.75,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0058
tree,15,3,1.75,1.5,200,mf,0.1035618317925928,0.34010252821766146,0.10308475513402718,0.10487379260364829,1,44,,,,,ve,0.0221
tree,15,3,1.75,1.5,200,lbp,7.964738720568574e-08,2.0784499686621327e-07,7.831787742654535e-08,8.330353909832182e-08,1,31,2.662657941909785e-07,,,,ve,0.014
tree,15,3,1.75,1.5,200,gibbs,0.002616196120779804,0.004935746361618608,0.002472790689650786,0.0030105610563846024,1,2000,,4160.8,1.00039,2000,ve,7.8646
tree,15,3,2.5,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.007
tree,15,3,2.5,1.5,200,mf,0.1827485179396446,0.6319654562686792,0.16926100831393479,0.21983916941034679,1,31,,,,,ve,0.0156
tree,15,3,2.5,1.5,200,lbp,1.1717016143731236e-07,4.013369056046767e-07,1.1938373088120377e-07,1.1108284546661098e-07,1,33,3.0391355554382216e-07,,,,ve,0.0156
tree,15,3,2.5,1.5,200,gibbs,0.0066586377947362085,0.018271993797619762,0.005787186755252232,0.009055128153317146,1,2000,,1978.3,1.00264,2000,ve,7.9709
tree,15,3,4.0,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0058
tree,15,3,4.0,1.5,200,mf,0.39759795845135365,0.9267630702180254,0.3907880114937096,0.4163253125848749,1,6,,,,,ve,0.0036
tree,15,3,4.0,1.5,200,lbp,5.728299998821991e-08,1.777675865850814e-07,5.981095917139026e-08,5.0331112234501454e-08,1,38,2.0969904638429293e-07,,,,ve,0.0197
tree,15,3,4.0,1.5,200,gibbs,0.05109756820700526,0.06670635411788298,0.04920991975581317,0.056288601447783526,0,2000,,38.3,1.07135,2000,ve,7.9046
tree,15,3,0.0,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.011
tree,15,3,0.0,0.5,201,mf,2.6043981785998463e-16,8.396061623727746e-16,2.3907643541643995e-16,3.191891195797325e-16,1,1,,,,,ve,0.0011
tree,15,3,0.0,0.5,201,lbp,2.590520390792032e-16,8.951173136040325e-16,2.4223047810003414e-16,3.0531133177191805e-16,1,3,0.0,,,,ve,0.0019
tree,15,3,0.0,0.5,201,gibbs,7.201415389938385e-15,1.4002687898084787e-14,7.0130139069716916e-15,7.719519468096792e-15,1,2000,,7894.7,0.99984,2000,ve,8.5654
tree,15,3,0.1,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0064
tree,15,3,0.1,0.5,201,mf,0.0003715823862592615,0.0009279832913760347,0.00036053632518473613,0.0004019590542142064,1,4,,,,,ve,0.0026
tree,15,3,0.1,0.5,201,lbp,1.5325116491151276e-07,2.9652614486064266e-07,1.613762577955384e-07,1.309071594804423e-07,1,16,2.3138010907253204e-07,,,,ve,0.0082
