run_id,dataset,model,regime,inference_method,label_per_class,split_seed,lambda,beta,weighted_prior,clamped,best_epoch,val_acc,val_f1,val_nll,val_brier,test_acc,test_f1,test_nll,test_brier,ece,rule_score,edge_agreement,converged,iters,final_residual,ess_min,ess_median,rhat_max,target_h,empirical_h,adjusted_h,label_informativeness,sigma_x,beta_gen,lr,weight_decay,hidden,dropout,train_seconds,infer_seconds,logits_path,git_commit,protocol_hash,notes
M0_mlp-c4fc08a463,cora_betaext,M0_mlp,train,none,2,0,0.0,,,,29,0.318,0.326023,1.884778,0.837547,0.294,0.304294,1.890974,0.840172,0.114873,0.144302,0.307313,,,,,,,,,,,,,0.01,0.001,64,0.5,0.488,,results/logits/M0_mlp-c4fc08a463.npz,4225688,9f9bb01aee1b,exploratory beta extension
M1_gcn-092dac9536,cora_betaext,M1_gcn,train,none,2,0,0.0,,,,134,0.482,0.525924,1.568132,0.712851,0.466,0.524717,1.60176,0.725734,0.168576,0.202097,0.624858,,,,,,,,,,,,,0.01,0.001,64,0.5,2.953,,results/logits/M1_gcn-092dac9536.npz,4225688,9f9bb01aee1b,exploratory beta extension
M4_mrf_mlp-35797d0ef4,cora_betaext,M4_mrf_mlp,exploratory,mf,2,0,,3.0,,0,,0.416,0.457406,5.327609,1.079748,0.407,0.437876,5.271902,1.092807,0.517728,0.903741,0.931224,1,154,,,,,,,,,,,,,,,,0.7419,,4225688,9f9bb01aee1b,flip=0.5470 exploratory beta extension
M4_mrf_gcn-197d263b35,cora_betaext,M4_mrf_gcn,exploratory,mf,2,0,,3.0,,0,,0.492,0.557219,4.558094,0.952273,0.479,0.549925,4.689844,0.985395,0.470294,0.895578,0.91474,1,174,,,,,,,,,,,,,,,,0.9193,,4225688,9f9bb01aee1b,flip=0.2050 exploratory beta extension
M4_mrf_mlp-7aebca986d,cora_betaext,M4_mrf_mlp,exploratory,mf,2,0,,4.0,,0,,0.404,0.438883,6.893746,1.142359,0.399,0.429222,6.783914,1.144169,0.555098,0.912327,0.925161,1,67,,,,,,,,,,,,,,,,0.3403,,4225688,9f9bb01aee1b,flip=0.5400 exploratory beta extension
M4_mrf_gcn-d264dc3ce9,cora_betaext,M4_mrf_gcn,exploratory,mf,2,0,,4.0,,0,,0.488,0.554369,5.818001,0.991041,0.48,0.551756,5.989128,1.00865,0.490575,0.906396,0.913035,1,31,,,,,,,,,,,,,,,,0.1668,,4225688,9f9bb01aee1b,flip=0.1990 exploratory beta extension
M4_mrf_mlp-98e75e3897,cora_betaext,M4_mrf_mlp,exploratory,mf,2,0,,6.0,,0,,0.398,0.433414,9.510725,1.185475,0.39,0.419462,9.447226,1.196392,0.592658,0.916805,0.918151,1,27,,,,,,,,,,,,,,,,0.1398,,4225688,9f9bb01aee1b,flip=0.5340 exploratory beta extension
M4_mrf_gcn-2d16bc8bee,cora_betaext,M4_mrf_gcn,exploratory,mf,2,0,,6.0,,0,,0.476,0.541709,8.04348,1.025413,0.475,0.546554,8.265041,1.036756,0.509029,0.910466,0.91133,1,19,,,,,,,,,,,,,,,,0.1024,,4225688,9f9bb01aee1b,flip=0.2000 exploratory beta extension
M4_mrf_mlp-07bd44795b,cora_betaext,M4_mrf_mlp,exploratory,mf,2,0,,8.0,,0,,0.394,0.438497,11.398866,1.195722,0.391,0.425187,11.25612,1.196589,0.590741,0.912845,0.913035,1,53,,,,,,,,,,,,,,,,0.2869,,4225688,9f9bb01aee1b,flip=0.5340 exploratory beta extension
M4_mrf_gcn-4e7edd8c0b,cora_betaext,M4_mrf_gcn,exploratory,mf,2,0,,8.0,,0,,0.474,0.526662,9.828095,1.03267,0.481,0.550746,9.867431,1.02995,0.504924,0.912726,0.912846,1,21,,,,,,,,,,,,,,,,0.1189,,4225688,9f9bb01aee1b,flip=0.2000 exploratory beta extension
M0_mlp-40f201bf36,cora_betaext,M0_mlp,train,none,2,1,0.0,,,,23,0.376,0.341827,1.861366,0.831667,0.33,0.286425,1.867753,0.833145,0.15607,0.143965,0.376658,,,,,,,,,,,,,0.01,0.001,64,0.5,0.463,,results/logits/M0_mlp-40f201bf36.npz,4225688,9f9bb01aee1b,exploratory beta extension
M1_gcn-5ef049d8b5,cora_betaext,M1_gcn,train,none,2,1,0.0,,,,86,0.44,0.452833,1.691552,0.754825,0.435,0.464285,1.724975,0.767082,0.157798,0.190028,0.594354,,,,,,,,,,,,,0.01,0.001,64,0.5,2.308,,results/logits/M1_gcn-5ef049d8b5.npz,4225688,9f9bb01aee1b,exploratory beta extension
M4_mrf_mlp-a947f6ce7a,cora_betaext,M4_mrf_mlp,exploratory,mf,2,1,,3.0,,0,,0.478,0.380418,5.203785,0.985853,0.486,0.387527,4.881004,0.952409,0.431063,0.910994,0.939371,1,98,,,,,,,,,,,,,,,,0.4908,,4225688,9f9bb01aee1b,flip=0.5160 exploratory beta extension
M4_mrf_gcn-e90413cc25,cora_betaext,M4_mrf_gcn,exploratory,mf,2,1,,3.0,,0,,0.436,0.446897,5.143397,1.058958,0.426,0.448987,4.958842,1.071873,0.511541,0.873653,0.895794,1,118,,,,,,,,,,,,,,,,0.5562,,4225688,9f9bb01aee1b,flip=0.2890 exploratory beta extension
M4_mrf_mlp-1ac1776ed2,cora_betaext,M4_mrf_mlp,exploratory,mf,2,1,,4.0,,0,,0.478,0.387066,6.676079,1.015359,0.479,0.389954,6.293058,0.996548,0.474133,0.921695,0.935013,1,92,,,,,,,,,,,,,,,,0.4551,,4225688,9f9bb01aee1b,flip=0.5150 exploratory beta extension
M4_mrf_gcn-ca3aa9c835,cora_betaext,M4_mrf_gcn,exploratory,mf,2,1,,4.0,,0,,0.44,0.44799,6.370435,1.084437,0.436,0.454469,6.243167,1.089116,0.530266,0.885614,0.893331,1,56,,,,,,,,,,,,,,,,0.2835,,4225688,9f9bb01aee1b,flip=0.2820 exploratory beta extension
M4_mrf_mlp-c67b39af80,cora_betaext,M4_mrf_mlp,exploratory,mf,2,1,,6.0,,0,,0.456,0.379882,9.270777,1.069036,0.455,0.380923,8.90238,1.072058,0.526413,0.924758,0.926108,1,23,,,,,,,,,,,,,,,,0.1075,,4225688,9f9bb01aee1b,flip=0.5150 exploratory beta extension
M4_mrf_gcn-d3f798ee89,cora_betaext,M4_mrf_gcn,exploratory,mf,2,1,,6.0,,0,,0.458,0.464434,8.454867,1.067648,0.455,0.477402,8.304076,1.070443,0.524129,0.896121,0.89712,1,36,,,,,,,,,,,,,,,,0.169,,4225688,9f9bb01aee1b,flip=0.2740 exploratory beta extension
M4_mrf_mlp-1e1ce545a1,cora_betaext,M4_mrf_mlp,exploratory,mf,2,1,,8.0,,0,,0.434,0.363323,11.121611,1.117368,0.444,0.370332,10.765862,1.098849,0.539643,0.92157,0.921751,1,14,,,,,,,,,,,,,,,,0.0707,,4225688,9f9bb01aee1b,flip=0.5050 exploratory beta extension
