run_id,dataset,model,regime,inference_method,label_per_class,split_seed,lambda,beta,weighted_prior,clamped,best_epoch,val_acc,val_f1,val_nll,val_brier,test_acc,test_f1,test_nll,test_brier,ece,rule_score,edge_agreement,converged,iters,final_residual,ess_min,ess_median,rhat_max,target_h,empirical_h,adjusted_h,label_informativeness,sigma_x,beta_gen,lr,weight_decay,hidden,dropout,train_seconds,infer_seconds,logits_path,git_commit,protocol_hash,notes
M0_mlp-f811578e51,sbm_betaext,M0_mlp,train,none,5,0,0.0,,,,136,0.47,0.467088,1.990303,0.829337,0.446,0.445446,2.095375,0.823091,0.311209,0.23703,0.261006,,,,,,,0.9,,,,,,0.01,0.0005,64,0.5,0.799,,results/logits/M0_mlp-f811578e51.npz,4225688,9f9bb01aee1b,exploratory
M4_mrf_mlp-a7304c57f2,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,0,,3.0,,0,,0.994,0.994148,0.010273,0.006342,0.992,0.992137,0.021793,0.010717,0.00294,0.899267,0.900591,1,16,,,,,0.9,,,,,,,,,,,0.1346,,4225688,9f9bb01aee1b,flip=0.5480 exploratory
M4_mrf_mlp-6bcdd920aa,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,0,,4.0,,0,,0.996,0.99615,0.00627,0.004051,0.995,0.995086,0.015542,0.007075,0.001734,0.900869,0.901217,1,9,,,,,0.9,,,,,,,,,,,0.0654,,4225688,9f9bb01aee1b,flip=0.5510 exploratory
M4_mrf_mlp-d36689de56,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,0,,6.0,,0,,0.996,0.99615,0.005111,0.003833,0.998,0.997994,0.012441,0.004144,0.000233,0.901422,0.901575,1,7,,,,,0.9,,,,,,,,,,,0.0514,,4225688,9f9bb01aee1b,flip=0.5530 exploratory
M4_mrf_mlp-2f282dfafd,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,0,,8.0,,0,,0.996,0.99615,0.005034,0.003844,0.998,0.997994,0.013137,0.00344,0.001195,0.901545,0.901575,1,6,,,,,0.9,,,,,,,,,,,0.0381,,4225688,9f9bb01aee1b,flip=0.5530 exploratory
M0_mlp-f25211decd,sbm_betaext,M0_mlp,train,none,5,1,0.0,,,,29,0.474,0.470873,1.463824,0.6863,0.494,0.492388,1.414307,0.666242,0.082151,0.221912,0.306892,,,,,,,0.9,,,,,,0.01,0.0005,64,0.5,0.301,,results/logits/M0_mlp-f25211decd.npz,4225688,9f9bb01aee1b,exploratory
M4_mrf_mlp-58789a334f,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,1,,3.0,,0,,0.992,0.992156,0.01632,0.009028,0.995,0.994947,0.02134,0.009502,0.000562,0.900051,0.900506,1,6,,,,,0.9,,,,,,,,,,,0.0693,,4225688,9f9bb01aee1b,flip=0.5020 exploratory
M4_mrf_mlp-fa369ec9eb,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,1,,4.0,,0,,0.992,0.992033,0.013275,0.007721,0.995,0.994903,0.022419,0.009584,0.001684,0.900507,0.900778,1,5,,,,,0.9,,,,,,,,,,,0.0217,,4225688,9f9bb01aee1b,flip=0.5030 exploratory
M4_mrf_mlp-6ee56b9893,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,1,,6.0,,0,,0.992,0.992033,0.011459,0.007402,0.995,0.994903,0.027222,0.010314,0.002616,0.900736,0.900778,1,5,,,,,0.9,,,,,,,,,,,0.0305,,4225688,9f9bb01aee1b,flip=0.5030 exploratory
M4_mrf_mlp-e6bf481963,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,1,,8.0,,0,,0.992,0.992033,0.011191,0.007414,0.995,0.994903,0.033026,0.010586,0.002797,0.900772,0.900778,1,5,,,,,0.9,,,,,,,,,,,0.0355,,4225688,9f9bb01aee1b,flip=0.5030 exploratory
M0_mlp-14bf948d11,sbm_betaext,M0_mlp,train,none,5,2,0.0,,,,73,0.434,0.429414,2.048586,0.843257,0.433,0.431864,2.225335,0.862314,0.30354,0.215639,0.240176,,,,,,,0.9,,,,,,0.01,0.0005,64,0.5,0.496,,results/logits/M0_mlp-14bf948d11.npz,4225688,9f9bb01aee1b,exploratory
M4_mrf_mlp-e998aa20b2,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,2,,3.0,,0,,0.994,0.993705,0.014035,0.008813,0.994,0.994054,0.018798,0.009386,0.002588,0.895643,0.896862,1,8,,,,,0.9,,,,,,,,,,,0.0678,,4225688,9f9bb01aee1b,flip=0.5610 exploratory
M4_mrf_mlp-5491716d9a,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,2,,4.0,,0,,0.998,0.997667,0.005572,0.003414,0.996,0.996114,0.012708,0.006713,0.0028,0.897571,0.897851,1,9,,,,,0.9,,,,,,,,,,,0.061,,4225688,9f9bb01aee1b,flip=0.5630 exploratory
M4_mrf_mlp-8cb919d9cb,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,2,,6.0,,0,,1.0,1.0,0.000947,0.000288,0.997,0.997084,0.007535,0.004377,0.002145,0.898705,0.89884,1,12,,,,,0.9,,,,,,,,,,,0.0984,,4225688,9f9bb01aee1b,flip=0.5640 exploratory
M4_mrf_mlp-c1a7821d3b,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,2,,8.0,,0,,1.0,1.0,0.000139,8e-06,0.998,0.998053,0.004796,0.002607,0.001505,0.899025,0.89902,1,6,,,,,0.9,,,,,,,,,,,0.0439,,4225688,9f9bb01aee1b,flip=0.5650 exploratory
M0_mlp-b6fe6b91cf,sbm_betaext,M0_mlp,train,none,5,3,0.0,,,,29,0.508,0.506132,1.453826,0.665572,0.473,0.475875,1.436483,0.673349,0.100896,0.212171,0.269952,,,,,,,0.9,,,,,,0.01,0.0005,64,0.5,0.291,,results/logits/M0_mlp-b6fe6b91cf.npz,4225688,9f9bb01aee1b,exploratory
M4_mrf_mlp-4ec87f103f,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,3,,3.0,,0,,1.0,1.0,0.000852,0.000166,1.0,1.0,0.003685,0.001455,0.003011,0.898992,0.899542,1,5,,,,,0.9,,,,,,,,,,,0.0544,,4225688,9f9bb01aee1b,flip=0.5270 exploratory
M4_mrf_mlp-99f254d35b,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,3,,4.0,,0,,1.0,1.0,0.000113,2e-06,0.999,0.999051,0.002398,0.001278,0.000298,0.899463,0.899632,1,5,,,,,0.9,,,,,,,,,,,0.0454,,4225688,9f9bb01aee1b,flip=0.5280 exploratory
M4_mrf_mlp-b3cdf56d57,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,3,,6.0,,0,,1.0,1.0,1.3e-05,0.0,0.999,0.999051,0.003164,0.001813,0.000792,0.899612,0.899632,1,4,,,,,0.9,,,,,,,,,,,0.031,,4225688,9f9bb01aee1b,flip=0.5280 exploratory
M4_mrf_mlp-37d92e6bbf,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,3,,8.0,,0,,1.0,1.0,1e-05,0.0,0.999,0.999051,0.004986,0.001972,0.000967,0.899629,0.899632,1,4,,,,,0.9,,,,,,,,,,,0.0265,,4225688,9f9bb01aee1b,flip=0.5280 exploratory
M0_mlp-8cd261c5d4,sbm_betaext,M0_mlp,train,none,5,4,0.0,,,,38,0.452,0.455648,1.701747,0.741834,0.445,0.446206,1.69486,0.761987,0.203603,0.22589,0.266625,,,,,,,0.9,,,,,,0.01,0.0005,64,0.5,0.309,,results/logits/M0_mlp-8cd261c5d4.npz,4225688,9f9bb01aee1b,exploratory
M4_mrf_mlp-91509d64b1,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,4,,3.0,,0,,1.0,1.0,0.005344,0.002576,0.997,0.997054,0.007082,0.003898,0.000366,0.900823,0.901676,1,6,,,,,0.9,,,,,,,,,,,0.066,,4225688,9f9bb01aee1b,flip=0.5540 exploratory
M4_mrf_mlp-197a2620e6,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,4,,4.0,,0,,1.0,1.0,0.003541,0.001895,0.997,0.997054,0.004716,0.003055,0.00081,0.901524,0.901676,1,5,,,,,0.9,,,,,,,,,,,0.0613,,4225688,9f9bb01aee1b,flip=0.5540 exploratory
M4_mrf_mlp-e4165fead5,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,4,,6.0,,0,,1.0,1.0,0.00294,0.00176,0.998,0.998023,0.003548,0.00232,0.000162,0.901745,0.901765,1,5,,,,,0.9,,,,,,,,,,,0.0484,,4225688,9f9bb01aee1b,flip=0.5540 exploratory
M4_mrf_mlp-f07dae8b9e,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,4,,8.0,,0,,1.0,1.0,0.002874,0.001756,0.997,0.997044,0.004159,0.003046,0.0013,0.901819,0.901854,1,5,,,,,0.9,,,,,,,,,,,0.0489,,4225688,9f9bb01aee1b,flip=0.5550 exploratory
M0_mlp-9de9e2f595,sbm_betaext,M0_mlp,train,none,5,5,0.0,,,,26,0.46,0.454861,1.475155,0.694604,0.433,0.434611,1.585061,0.7236,0.081291,0.189283,0.255851,,,,,,,0.9,,,,,,0.01,0.0005,64,0.5,0.333,,results/logits/M0_mlp-9de9e2f595.npz,4225688,9f9bb01aee1b,exploratory
M4_mrf_mlp-97f2e631e6,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,5,,3.0,,0,,1.0,1.0,0.002733,0.001199,0.997,0.99697,0.009967,0.004851,0.001619,0.902002,0.902516,1,8,,,,,0.9,,,,,,,,,,,0.0764,,4225688,9f9bb01aee1b,flip=0.5640 exploratory
M4_mrf_mlp-70a67829c6,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,5,,4.0,,0,,1.0,1.0,0.001737,0.000925,0.998,0.998017,0.008036,0.003976,0.001138,0.902417,0.902604,1,7,,,,,0.9,,,,,,,,,,,0.0496,,4225688,9f9bb01aee1b,flip=0.5650 exploratory
M4_mrf_mlp-6b4e764c1a,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,5,,6.0,,0,,1.0,1.0,0.001307,0.000861,0.998,0.998017,0.007104,0.003669,0.000322,0.902579,0.902604,1,6,,,,,0.9,,,,,,,,,,,0.0375,,4225688,9f9bb01aee1b,flip=0.5650 exploratory
M4_mrf_mlp-4fbc4726e0,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,5,,8.0,,0,,1.0,1.0,0.001251,0.000857,0.998,0.998017,0.006974,0.003659,0.000198,0.902601,0.902604,1,6,,,,,0.9,,,,,,,,,,,0.0462,,4225688,9f9bb01aee1b,flip=0.5650 exploratory
M0_mlp-e6780c60c4,sbm_betaext,M0_mlp,train,none,5,6,0.0,,,,18,0.472,0.470836,1.417948,0.665855,0.49,0.488857,1.413846,0.661482,0.080502,0.176635,0.273837,,,,,,,0.9,,,,,,0.01,0.0005,64,0.5,0.274,,results/logits/M0_mlp-e6780c60c4.npz,4225688,9f9bb01aee1b,exploratory
M4_mrf_mlp-8197eeac23,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,6,,3.0,,0,,0.998,0.998143,0.003402,0.001601,1.0,1.0,0.001129,0.000257,0.001019,0.899541,0.899876,1,6,,,,,0.9,,,,,,,,,,,0.0646,,4225688,9f9bb01aee1b,flip=0.5100 exploratory
M4_mrf_mlp-c62f898295,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,6,,4.0,,0,,0.998,0.998143,0.004442,0.002268,1.0,1.0,0.000605,0.000186,0.000537,0.899782,0.899965,1,5,,,,,0.9,,,,,,,,,,,0.0453,,4225688,9f9bb01aee1b,flip=0.5100 exploratory
M4_mrf_mlp-bbd964a556,sbm_betaext,M4_mrf_mlp,exploratory,mf,5,6,,6.0,,0,,0.998,0.998143,0.007965,0.002883,1.0,1.0,0.000422,0.000165,0.00037,0.899926,0.899965,1,4,,,,,0.9,,,,,,,,,,,0.0291,,4225688,9f9bb01aee1b,flip=0.5100 exploratory
