run_id,dataset,model,regime,inference_method,label_per_class,split_seed,lambda,beta,weighted_prior,clamped,best_epoch,val_acc,val_f1,val_nll,val_brier,test_acc,test_f1,test_nll,test_brier,ece,rule_score,edge_agreement,converged,iters,final_residual,ess_min,ess_median,rhat_max,target_h,empirical_h,adjusted_h,label_informativeness,sigma_x,beta_gen,lr,weight_decay,hidden,dropout,train_seconds,infer_seconds,logits_path,git_commit,protocol_hash,notes
M0_mlp-821b198844,citeseer,M0_mlp,train,none,1,0,0.0,,,,36,0.27,0.236892,1.775046,0.826609,0.277,0.243693,1.76397,0.823087,0.082531,0.167868,0.328427,,,,,,,,,,,,,0.01,0.001,64,0.5,3.772,,results/logits/M0_mlp-821b198844.npz,4225688,9f9bb01aee1b,
M1_gcn-1c1a3e88ac,citeseer,M1_gcn,train,none,1,0,0.0,,,,45,0.206,0.115015,1.800883,0.839054,0.172,0.086032,1.806787,0.841203,0.078354,0.181281,0.700571,,,,,,,,,,,,,0.01,0.0005,64,0.5,2.975,,results/logits/M1_gcn-1c1a3e88ac.npz,4225688,9f9bb01aee1b,
LP-dc62f92fad,citeseer,LP,closed_form,label_prop,1,0,,,,,,0.194,0.093823,2.137885,0.832201,0.173,0.086501,2.120858,0.8342,0.145981,0.17224,1.0,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,uses train labels as inference-time evidence
M2_lap-067e3dc536,citeseer,M2_lap,train,none,1,0,0.001,,,,43,0.208,0.119044,1.793827,0.836356,0.177,0.091308,1.800359,0.838637,0.066858,0.18018,0.703427,,,,,,,,,,,,,0.01,0.0005,64,0.5,4.669,,,4225688,9f9bb01aee1b,
M2_lap-c18520c638,citeseer,M2_lap,train,none,1,0,0.01,,,,44,0.206,0.109294,1.794471,0.836967,0.175,0.084832,1.802422,0.839841,0.091991,0.182381,0.811511,,,,,,,,,,,,,0.01,0.0005,64,0.5,3.259,,,4225688,9f9bb01aee1b,
M2_lap-3afdb74242,citeseer,M2_lap,train,none,1,0,0.1,,,,75,0.212,0.128169,1.798441,0.838111,0.177,0.097592,1.797069,0.838586,0.087688,0.18293,0.789104,,,,,,,,,,,,,0.01,0.0005,64,0.5,4.359,,,4225688,9f9bb01aee1b,
M2_lap-536a119ed2,citeseer,M2_lap,train,none,1,0,0.5,,,,37,0.21,0.132782,1.76945,0.827198,0.192,0.118338,1.777751,0.829924,0.072894,0.174873,0.716169,,,,,,,,,,,,,0.01,0.0005,64,0.5,2.987,,,4225688,9f9bb01aee1b,
M2_lap-89ba0c1e1d,citeseer,M2_lap,train,none,1,0,1.0,,,,35,0.21,0.133951,1.763563,0.825078,0.186,0.112336,1.772233,0.827937,0.059835,0.174065,0.731766,,,,,,,,,,,,,0.01,0.0005,64,0.5,3.223,,,4225688,9f9bb01aee1b,
M2_lap-6fd404647d,citeseer,M2_lap,train,none,1,0,5.0,,,,22,0.22,0.170209,1.779018,0.828606,0.197,0.144969,1.781241,0.829802,0.03125,0.168576,0.722979,,,,,,,,,,,,,0.01,0.0005,64,0.5,2.586,,,4225688,9f9bb01aee1b,
M4_mrf_gcn-fc7311c90b,citeseer,M4_mrf_gcn,tuned_grid,mf,1,0,,0.05,,0,,0.206,0.115015,1.802183,0.83968,0.174,0.08685,1.80856,0.841946,0.082403,0.182778,0.714851,1,5,,,,,,,,,,,,,,,,0.046,,4225688,9f9bb01aee1b,flip=0.0030
M4_mrf_mlp-ceed5ed47b,citeseer,M4_mrf_mlp,tuned_grid,mf,1,0,,0.05,,0,,0.266,0.233262,1.774596,0.826405,0.278,0.244607,1.763498,0.822885,0.084508,0.168016,0.346661,1,4,,,,,,,,,,,,,,,,0.0322,,4225688,9f9bb01aee1b,flip=0.0110
M4_mrf_gcn_clamped-cfde3e9c24,citeseer,M4_mrf_gcn_clamped,tuned_grid,mf,1,0,,0.05,,1,,0.206,0.115015,1.802188,0.83968,0.174,0.08685,1.808564,0.841946,0.082403,0.182876,0.714851,1,5,,,,,,,,,,,,,,,,0.3493,,4225688,9f9bb01aee1b,flip=0.0030
M4_mrf_gcn-2930ef5252,citeseer,M4_mrf_gcn,tuned_grid,mf,1,0,,0.1,,0,,0.2,0.104886,1.803964,0.840475,0.174,0.08711,1.810801,0.842867,0.090158,0.18463,0.741432,1,7,,,,,,,,,,,,,,,,0.0652,,4225688,9f9bb01aee1b,flip=0.0090
M4_mrf_mlp-d77fba5c3e,citeseer,M4_mrf_mlp,tuned_grid,mf,1,0,,0.1,,0,,0.27,0.235776,1.774076,0.826165,0.279,0.244466,1.762954,0.822653,0.081321,0.168189,0.359842,1,6,,,,,,,,,,,,,,,,0.1743,,4225688,9f9bb01aee1b,flip=0.0240
M4_mrf_gcn_clamped-c0ee1cfbdd,citeseer,M4_mrf_gcn_clamped,tuned_grid,mf,1,0,,0.1,,1,,0.2,0.104886,1.803975,0.840476,0.174,0.08711,1.810808,0.842868,0.090158,0.184722,0.741432,1,7,,,,,,,,,,,,,,,,0.1163,,4225688,9f9bb01aee1b,flip=0.0090
M4_mrf_gcn-eecb5e7d2d,citeseer,M4_mrf_gcn,tuned_grid,mf,1,0,,0.25,,0,,0.2,0.105415,1.82312,0.850196,0.178,0.089588,1.830498,0.852387,0.100253,0.214021,0.860501,1,27,,,,,,,,,,,,,,,,0.4222,,4225688,9f9bb01aee1b,flip=0.0270
M4_mrf_mlp-75367be515,citeseer,M4_mrf_mlp,tuned_grid,mf,1,0,,0.25,,0,,0.272,0.234491,1.771371,0.824958,0.283,0.245731,1.760255,0.821531,0.088089,0.169017,0.408831,1,16,,,,,,,,,,,,,,,,0.0456,,4225688,9f9bb01aee1b,flip=0.0600
M4_mrf_gcn_clamped-e49dc4a951,citeseer,M4_mrf_gcn_clamped,tuned_grid,mf,1,0,,0.25,,1,,0.2,0.105415,1.823143,0.850199,0.178,0.089588,1.830513,0.852388,0.100254,0.214098,0.860501,1,27,,,,,,,,,,,,,,,,0.1109,,4225688,9f9bb01aee1b,flip=0.0270
M4_mrf_gcn-142ded9f03,citeseer,M4_mrf_gcn,tuned_grid,mf,1,0,,0.5,,0,,0.21,0.111019,1.954382,0.896039,0.186,0.097944,1.959929,0.897196,0.153875,0.348171,0.94464,1,41,,,,,,,,,,,,,,,,0.3984,,4225688,9f9bb01aee1b,flip=0.0500
M4_mrf_mlp-ed88066e36,citeseer,M4_mrf_mlp,tuned_grid,mf,1,0,,0.5,,0,,0.332,0.275959,1.715446,0.796423,0.351,0.302562,1.70751,0.796914,0.11268,0.246862,0.634666,1,60,,,,,,,,,,,,,,,,0.5291,,4225688,9f9bb01aee1b,flip=0.2100
M4_mrf_gcn_clamped-d80609822e,citeseer,M4_mrf_gcn_clamped,tuned_grid,mf,1,0,,0.5,,1,,0.21,0.111019,1.95442,0.896042,0.186,0.097944,1.959953,0.897197,0.153876,0.348226,0.94464,1,41,,,,,,,,,,,,,,,,0.2759,,4225688,9f9bb01aee1b,flip=0.0500
M4_mrf_gcn-5223a18237,citeseer,M4_mrf_gcn,tuned_grid,mf,1,0,,1.0,,0,,0.21,0.107636,2.587385,1.038266,0.189,0.100979,2.612046,1.050462,0.352312,0.613187,0.97935,1,54,,,,,,,,,,,,,,,,0.3576,,4225688,9f9bb01aee1b,flip=0.0830
M4_mrf_mlp-1ed03c4b0a,citeseer,M4_mrf_mlp,tuned_grid,mf,1,0,,1.0,,0,,0.324,0.257377,2.05178,0.878061,0.346,0.28729,2.005449,0.881311,0.218994,0.485837,0.828647,1,117,,,,,,,,,,,,,,,,0.9885,,4225688,9f9bb01aee1b,flip=0.3840
M4_mrf_gcn_clamped-243be2c4af,citeseer,M4_mrf_gcn_clamped,tuned_grid,mf,1,0,,1.0,,1,,0.21,0.107636,2.587433,1.038268,0.189,0.100979,2.612076,1.050463,0.352312,0.613218,0.97935,1,54,,,,,,,,,,,,,,,,0.3173,,4225688,9f9bb01aee1b,flip=0.0830
M4_mrf_gcn-753db17c68,citeseer,M4_mrf_gcn,tuned_grid,mf,1,0,,2.0,,0,,0.208,0.101994,4.408688,1.275931,0.188,0.09953,4.594083,1.315328,0.597999,0.855911,0.99275,1,58,,,,,,,,,,,,,,,,0.4234,,4225688,9f9bb01aee1b,flip=0.0960
M4_mrf_mlp-7c05ea9c17,citeseer,M4_mrf_mlp,tuned_grid,mf,1,0,,2.0,,0,,0.342,0.267006,3.232556,1.045228,0.361,0.290212,3.28073,1.036886,0.399463,0.779144,0.935413,1,173,,,,,,,,,,,,,,,,1.3707,,4225688,9f9bb01aee1b,flip=0.5020
