run_id,dataset,model,regime,inference_method,label_per_class,split_seed,lambda,beta,weighted_prior,clamped,best_epoch,val_acc,val_f1,val_nll,val_brier,test_acc,test_f1,test_nll,test_brier,ece,rule_score,edge_agreement,converged,iters,final_residual,ess_min,ess_median,rhat_max,target_h,empirical_h,adjusted_h,label_informativeness,sigma_x,beta_gen,lr,weight_decay,hidden,dropout,train_seconds,infer_seconds,logits_path,git_commit,protocol_hash,notes
M0_mlp-09a7e02916,cora,M0_mlp,train,none,2,10,0.0,,,,71,0.418,0.377068,1.7023,0.767166,0.419,0.359315,1.701216,0.764526,0.144104,0.157957,0.343122,,,,,,,,,,,,,0.01,0.001,64,0.5,3.101,,results/logits/M0_mlp-09a7e02916.npz,4225688,9f9bb01aee1b,
M4_mrf_mlp-e1d1920a3f,cora,M4_mrf_mlp,tuned_grid,mf,2,10,,0.05,,0,,0.422,0.379345,1.691831,0.762976,0.427,0.364494,1.690853,0.760182,0.148816,0.16208,0.384426,1,6,,,,,,,,,,,,,,,,0.0383,,4225688,9f9bb01aee1b,flip=0.0160
M4_mrf_mlp-2482ed1562,cora,M4_mrf_mlp,tuned_grid,mf,2,10,,0.1,,0,,0.436,0.391042,1.678018,0.757297,0.435,0.370535,1.677388,0.754409,0.154676,0.1676,0.409246,1,7,,,,,,,,,,,,,,,,0.029,,4225688,9f9bb01aee1b,flip=0.0340
M4_mrf_mlp-fe1e6102b9,cora,M4_mrf_mlp,tuned_grid,mf,2,10,,0.25,,0,,0.466,0.414944,1.619394,0.73204,0.468,0.399877,1.621542,0.729458,0.169325,0.187657,0.477833,1,17,,,,,,,,,,,,,,,,0.4315,,4225688,9f9bb01aee1b,flip=0.0920
M4_mrf_mlp-7542ab85d4,cora,M4_mrf_mlp,tuned_grid,mf,2,10,,0.5,,0,,0.552,0.494968,1.440036,0.647551,0.547,0.468262,1.454172,0.648564,0.180182,0.279251,0.638878,1,76,,,,,,,,,,,,,,,,1.3227,,4225688,9f9bb01aee1b,flip=0.2290
M4_mrf_mlp-d4a4ee7f25,cora,M4_mrf_mlp,tuned_grid,mf,2,10,,1.0,,0,,0.604,0.526285,1.390977,0.585428,0.606,0.51575,1.392288,0.575444,0.097505,0.610264,0.846912,1,179,,,,,,,,,,,,,,,,2.6911,,4225688,9f9bb01aee1b,flip=0.4200
M4_mrf_mlp-46d2c1aac3,cora,M4_mrf_mlp,tuned_grid,mf,2,10,,2.0,,0,,0.62,0.544229,2.264061,0.652799,0.631,0.558898,2.171433,0.639102,0.240774,0.828984,0.895415,1,77,,,,,,,,,,,,,,,,1.2052,,4225688,9f9bb01aee1b,flip=0.4960
M0_mlp-a4dde98cab,cora,M0_mlp,train,none,2,11,0.0,,,,63,0.352,0.319737,1.812284,0.809032,0.336,0.29058,1.813172,0.808629,0.09812,0.152773,0.291777,,,,,,,,,,,,,0.01,0.001,64,0.5,3.02,,results/logits/M0_mlp-a4dde98cab.npz,4225688,9f9bb01aee1b,
M4_mrf_mlp-99836c9dc9,cora,M4_mrf_mlp,tuned_grid,mf,2,11,,0.05,,0,,0.348,0.31463,1.80602,0.8066,0.341,0.293878,1.807125,0.806366,0.098898,0.15464,0.31925,1,5,,,,,,,,,,,,,,,,0.0158,,4225688,9f9bb01aee1b,flip=0.0130
M4_mrf_mlp-13ec5139cd,cora,M4_mrf_mlp,tuned_grid,mf,2,11,,0.1,,0,,0.348,0.315846,1.798076,0.803443,0.345,0.297223,1.799545,0.80348,0.103668,0.157008,0.330428,1,7,,,,,,,,,,,,,,,,0.0246,,4225688,9f9bb01aee1b,flip=0.0250
M4_mrf_mlp-ec585a1f8c,cora,M4_mrf_mlp,tuned_grid,mf,2,11,,0.25,,0,,0.372,0.340365,1.754522,0.785374,0.386,0.332416,1.757967,0.786566,0.113796,0.171467,0.413983,1,15,,,,,,,,,,,,,,,,0.4962,,4225688,9f9bb01aee1b,flip=0.0990
M4_mrf_mlp-9e16b45ac9,cora,M4_mrf_mlp,tuned_grid,mf,2,11,,0.5,,0,,0.412,0.382167,1.654193,0.740257,0.434,0.371754,1.64608,0.734965,0.109886,0.241622,0.559492,1,40,,,,,,,,,,,,,,,,0.4366,,4225688,9f9bb01aee1b,flip=0.2190
M4_mrf_mlp-888efe8eb8,cora,M4_mrf_mlp,tuned_grid,mf,2,11,,1.0,,0,,0.456,0.416366,1.848279,0.763541,0.482,0.413566,1.803135,0.74596,0.160223,0.579028,0.840091,1,108,,,,,,,,,,,,,,,,2.0044,,4225688,9f9bb01aee1b,flip=0.4720
M4_mrf_mlp-bd70ff731e,cora,M4_mrf_mlp,tuned_grid,mf,2,11,,2.0,,0,,0.484,0.424106,3.161119,0.872727,0.52,0.444549,2.879389,0.826739,0.339566,0.812638,0.882721,1,109,,,,,,,,,,,,,,,,1.6922,,4225688,9f9bb01aee1b,flip=0.5460
M0_mlp-e5d45abba3,cora,M0_mlp,train,none,2,12,0.0,,,,65,0.402,0.387325,1.732228,0.778661,0.397,0.37341,1.743876,0.786321,0.1432,0.152964,0.280599,,,,,,,,,,,,,0.01,0.001,64,0.5,3.569,,results/logits/M0_mlp-e5d45abba3.npz,4225688,9f9bb01aee1b,
M4_mrf_mlp-5d463e057b,cora,M4_mrf_mlp,tuned_grid,mf,2,12,,0.05,,0,,0.406,0.391452,1.724906,0.775948,0.402,0.378908,1.735872,0.783306,0.148476,0.154648,0.292535,1,5,,,,,,,,,,,,,,,,0.0183,,4225688,9f9bb01aee1b,flip=0.0140
M4_mrf_mlp-bffe4c0dc2,cora,M4_mrf_mlp,tuned_grid,mf,2,12,,0.1,,0,,0.416,0.401303,1.716019,0.772596,0.413,0.390413,1.726456,0.779732,0.1544,0.156656,0.313187,1,6,,,,,,,,,,,,,,,,0.0231,,4225688,9f9bb01aee1b,flip=0.0300
