run_id,dataset,model,regime,inference_method,label_per_class,split_seed,lambda,beta,weighted_prior,clamped,best_epoch,val_acc,val_f1,val_nll,val_brier,test_acc,test_f1,test_nll,test_brier,ece,rule_score,edge_agreement,converged,iters,final_residual,ess_min,ess_median,rhat_max,target_h,empirical_h,adjusted_h,label_informativeness,sigma_x,beta_gen,lr,weight_decay,hidden,dropout,train_seconds,infer_seconds,logits_path,git_commit,protocol_hash,notes
M0_mlp-5b7ece7f2d,cora,M0_mlp,train,none,20,0,0.0,,,,91,0.576,0.555385,1.317414,0.605319,0.563,0.544915,1.359491,0.627741,0.158742,0.222433,0.46097,,,,,,,,,,,,,0.01,0.001,64,0.5,1.572,,results/logits/M0_mlp-5b7ece7f2d.npz,4225688,9f9bb01aee1b,
M1_gcn-f1a2f99d79,cora,M1_gcn,train,none,20,0,0.0,,,,46,0.814,0.803811,1.142473,0.536123,0.818,0.801525,1.148662,0.538166,0.451653,0.255167,0.845017,,,,,,,,,,,,,0.01,0.001,64,0.5,1.747,,results/logits/M1_gcn-f1a2f99d79.npz,4225688,9f9bb01aee1b,
LP-8c139cc628,cora,LP,closed_form,label_prop,20,0,,,,,,0.728,0.727091,1.032826,0.47394,0.705,0.70866,1.086646,0.478123,0.238446,0.360875,0.885563,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,uses train labels as inference-time evidence
M2_lap-9bb9082d12,cora,M2_lap,train,none,20,0,0.001,,,,57,0.816,0.80816,1.030127,0.479447,0.813,0.799785,1.034106,0.480378,0.389309,0.31017,0.849754,,,,,,,,,,,,,0.01,0.001,64,0.5,2.514,,,4225688,9f9bb01aee1b,
M2_lap-73bd1dac4e,cora,M2_lap,train,none,20,0,0.01,,,,46,0.816,0.807577,1.142986,0.536338,0.816,0.799421,1.149153,0.538379,0.449837,0.255132,0.844828,,,,,,,,,,,,,0.01,0.001,64,0.5,2.207,,,4225688,9f9bb01aee1b,
M2_lap-857b3693a3,cora,M2_lap,train,none,20,0,0.1,,,,46,0.814,0.805228,1.14831,0.538851,0.814,0.797442,1.154037,0.540662,0.449581,0.254164,0.84407,,,,,,,,,,,,,0.01,0.001,64,0.5,2.093,,,4225688,9f9bb01aee1b,
M2_lap-0cb07fcbec,cora,M2_lap,train,none,20,0,0.5,,,,36,0.812,0.805762,1.332718,0.625278,0.809,0.797989,1.336301,0.62675,0.516302,0.19912,0.845017,,,,,,,,,,,,,0.01,0.001,64,0.5,1.905,,,4225688,9f9bb01aee1b,
M2_lap-d1c14523bf,cora,M2_lap,train,none,20,0,1.0,,,,23,0.812,0.803553,1.595686,0.737892,0.809,0.796142,1.599001,0.739127,0.596398,0.156178,0.811103,,,,,,,,,,,,,0.01,0.001,64,0.5,1.635,,,4225688,9f9bb01aee1b,
M2_lap-57531dcd3d,cora,M2_lap,train,none,20,0,5.0,,,,15,0.814,0.810727,1.752769,0.796084,0.814,0.800881,1.754132,0.796466,0.636933,0.146129,0.850512,,,,,,,,,,,,,0.01,0.001,64,0.5,1.652,,,4225688,9f9bb01aee1b,
M3_rule-83bb5a3bd2,cora,M3_rule,train,none,20,0,0.001,,,,57,0.816,0.807966,1.029617,0.479212,0.813,0.799785,1.0336,0.480136,0.389123,0.310332,0.849754,,,,,,,,,,,,,0.01,0.001,64,0.5,2.377,,,4225688,9f9bb01aee1b,
M3_rule-d31f48cecc,cora,M3_rule,train,none,20,0,0.01,,,,47,0.816,0.807679,1.124717,0.527928,0.815,0.798979,1.130594,0.529792,0.441265,0.26141,0.84748,,,,,,,,,,,,,0.01,0.001,64,0.5,2.067,,,4225688,9f9bb01aee1b,
M3_rule-4def159c18,cora,M3_rule,train,none,20,0,0.1,,,,47,0.818,0.809239,1.110382,0.521089,0.814,0.798086,1.116653,0.523059,0.434733,0.266522,0.849375,,,,,,,,,,,,,0.01,0.001,64,0.5,2.073,,,4225688,9f9bb01aee1b,
M3_rule-af81e84323,cora,M3_rule,train,none,20,0,0.5,,,,56,0.828,0.819883,0.924593,0.428465,0.826,0.811635,0.929928,0.428913,0.353583,0.359795,0.857332,,,,,,,,,,,,,0.01,0.001,64,0.5,2.286,,,4225688,9f9bb01aee1b,
M3_rule-f503526de8,cora,M3_rule,train,none,20,0,1.0,,,,39,0.82,0.809115,1.157619,0.546381,0.813,0.799852,1.165454,0.548706,0.457212,0.245142,0.821523,,,,,,,,,,,,,0.01,0.001,64,0.5,1.939,,,4225688,9f9bb01aee1b,
M3_rule-3ecd25f7eb,cora,M3_rule,train,none,20,0,5.0,,,,0,0.214,0.196479,1.941857,0.855989,0.217,0.184478,1.941779,0.85597,0.116502,0.142948,0.884426,,,,,,,,,,,,,0.01,0.001,64,0.5,1.338,,,4225688,9f9bb01aee1b,
M4_mrf_gcn-e41fea3ed4,cora,M4_mrf_gcn,tuned_grid,mf,20,0,,0.05,,0,,0.82,0.813113,1.115106,0.522021,0.818,0.802905,1.121726,0.524347,0.439057,0.273496,0.850133,1,5,,,,,,,,,,,,,,,,0.0418,,4225688,9f9bb01aee1b,flip=0.0090
M4_mrf_mlp-b593e54fd9,cora,M4_mrf_mlp,tuned_grid,mf,20,0,,0.05,,0,,0.594,0.574181,1.291188,0.593386,0.573,0.555917,1.333455,0.616389,0.161292,0.239798,0.506442,1,5,,,,,,,,,,,,,,,,0.0265,,4225688,9f9bb01aee1b,flip=0.0170
M4_mrf_gcn_clamped-8ccf83aa65,cora,M4_mrf_gcn_clamped,tuned_grid,mf,20,0,,0.05,,1,,0.822,0.814949,1.113326,0.521047,0.818,0.802905,1.119912,0.523364,0.438022,0.292696,0.850322,1,5,,,,,,,,,,,,,,,,0.0258,,4225688,9f9bb01aee1b,flip=0.0090
M4_mrf_gcn-1f5a4ae8e4,cora,M4_mrf_gcn,tuned_grid,mf,20,0,,0.1,,0,,0.822,0.814949,1.084197,0.505919,0.819,0.803258,1.091633,0.508765,0.425403,0.292746,0.853164,1,6,,,,,,,,,,,,,,,,0.0336,,4225688,9f9bb01aee1b,flip=0.0120
