run_id,dataset,model,regime,inference_method,label_per_class,split_seed,lambda,beta,weighted_prior,clamped,best_epoch,val_acc,val_f1,val_nll,val_brier,test_acc,test_f1,test_nll,test_brier,ece,rule_score,edge_agreement,converged,iters,final_residual,ess_min,ess_median,rhat_max,target_h,empirical_h,adjusted_h,label_informativeness,sigma_x,beta_gen,lr,weight_decay,hidden,dropout,train_seconds,infer_seconds,logits_path,git_commit,protocol_hash,notes
M1_gcn_3layer-2b75c9ac93,cora,M1_gcn_3layer,train,none,1,0,0.0,,,,7,0.46,0.318403,1.928441,0.852063,0.432,0.295024,1.928287,0.852043,0.283409,0.14307,0.720728,,,,,,,,,,,,,0.01,0.001,64,0.5,6.575,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-cb4935b651,cora,M1_gcn_3layer,train,none,1,1,0.0,,,,52,0.32,0.319684,2.049336,0.830602,0.343,0.338704,2.044203,0.825588,0.048965,0.251184,0.722622,,,,,,,,,,,,,0.01,0.001,64,0.5,5.619,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-0e70e81cfb,cora,M1_gcn_3layer,train,none,1,2,0.0,,,,61,0.404,0.368097,1.556681,0.723581,0.414,0.38222,1.525496,0.717545,0.069719,0.310052,0.758242,,,,,,,,,,,,,0.01,0.001,64,0.5,5.673,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-1bc40ada9e,cora,M1_gcn_3layer,train,none,1,3,0.0,,,,27,0.374,0.348143,2.178467,0.875815,0.378,0.361214,2.154432,0.874121,0.191034,0.192321,0.728117,,,,,,,,,,,,,0.01,0.001,64,0.5,4.036,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-41eadeb1c3,cora,M1_gcn_3layer,train,none,1,4,0.0,,,,118,0.628,0.583674,1.215073,0.548879,0.655,0.609153,1.151874,0.515662,0.149378,0.386574,0.821523,,,,,,,,,,,,,0.01,0.001,64,0.5,8.485,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-3bff496916,cora,M1_gcn_3layer,train,none,1,5,0.0,,,,0,0.314,0.076109,1.942426,0.856134,0.317,0.079487,1.941531,0.855878,0.170154,0.142925,0.743274,,,,,,,,,,,,,0.01,0.001,64,0.5,2.358,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-5d73e8598e,cora,M1_gcn_3layer,train,none,1,6,0.0,,,,32,0.366,0.306938,2.369582,0.815428,0.343,0.310291,2.382003,0.826823,0.117823,0.223266,0.672035,,,,,,,,,,,,,0.01,0.001,64,0.5,4.06,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-da305fb0b8,cora,M1_gcn_3layer,train,none,1,7,0.0,,,,28,0.434,0.403648,1.796569,0.79505,0.427,0.387255,1.819048,0.804015,0.188104,0.176164,0.739106,,,,,,,,,,,,,0.01,0.001,64,0.5,3.666,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-7230b7595d,cora,M1_gcn_3layer,train,none,1,8,0.0,,,,34,0.438,0.384341,2.336166,0.813334,0.395,0.342504,2.359749,0.823328,0.071052,0.274695,0.80485,,,,,,,,,,,,,0.01,0.001,64,0.5,4.189,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-1cb25e13e5,cora,M1_gcn_3layer,train,none,1,9,0.0,,,,46,0.482,0.338872,1.398435,0.674936,0.468,0.328076,1.442086,0.683776,0.042507,0.345971,0.851459,,,,,,,,,,,,,0.01,0.001,64,0.5,5.035,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-ef49f6366b,cora,M1_gcn_3layer,train,none,2,0,0.0,,,,78,0.548,0.581861,1.299108,0.595426,0.544,0.580507,1.393344,0.623469,0.115287,0.324113,0.762599,,,,,,,,,,,,,0.01,0.001,64,0.5,9.677,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-e432dd0218,cora,M1_gcn_3layer,train,none,2,1,0.0,,,,82,0.498,0.499185,1.546409,0.674821,0.487,0.512783,1.588742,0.680925,0.080032,0.316554,0.77643,,,,,,,,,,,,,0.01,0.001,64,0.5,9.535,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-8c3256b268,cora,M1_gcn_3layer,train,none,2,2,0.0,,,,50,0.648,0.611649,1.180595,0.544083,0.653,0.590335,1.13212,0.522046,0.152891,0.389781,0.83346,,,,,,,,,,,,,0.01,0.001,64,0.5,7.299,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-824464ff93,cora,M1_gcn_3layer,train,none,2,3,0.0,,,,110,0.458,0.468458,1.72515,0.700376,0.458,0.465337,1.666414,0.703219,0.08273,0.420568,0.812618,,,,,,,,,,,,,0.01,0.001,64,0.5,7.045,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-3a186c29bf,cora,M1_gcn_3layer,train,none,2,4,0.0,,,,67,0.666,0.618613,1.123846,0.501513,0.661,0.606032,1.119225,0.500408,0.130743,0.43568,0.841607,,,,,,,,,,,,,0.01,0.001,64,0.5,4.856,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-d763655174,cora,M1_gcn_3layer,train,none,2,5,0.0,,,,178,0.506,0.527783,1.754704,0.737791,0.48,0.515163,1.773098,0.748647,0.147216,0.519168,0.857901,,,,,,,,,,,,,0.01,0.001,64,0.5,9.968,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-aa829e7158,cora,M1_gcn_3layer,train,none,2,6,0.0,,,,50,0.486,0.478963,2.070551,0.700542,0.482,0.484325,2.070892,0.702019,0.083455,0.367772,0.780788,,,,,,,,,,,,,0.01,0.001,64,0.5,4.233,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-54f9372129,cora,M1_gcn_3layer,train,none,2,7,0.0,,,,70,0.618,0.484162,1.180747,0.54311,0.634,0.530644,1.20077,0.543138,0.119896,0.405882,0.823607,,,,,,,,,,,,,0.01,0.001,64,0.5,5.441,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-17602225a6,cora,M1_gcn_3layer,train,none,2,8,0.0,,,,37,0.476,0.473546,2.111419,0.727425,0.454,0.449522,2.10717,0.734759,0.098169,0.362635,0.823797,,,,,,,,,,,,,0.01,0.001,64,0.5,3.711,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-35769429c9,cora,M1_gcn_3layer,train,none,2,9,0.0,,,,104,0.64,0.556847,1.224859,0.541636,0.635,0.562292,1.217764,0.538255,0.108823,0.425145,0.781167,,,,,,,,,,,,,0.01,0.001,64,0.5,7.038,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-463ec30e7f,cora,M1_gcn_3layer,train,none,5,0,0.0,,,,67,0.726,0.706475,0.940315,0.43414,0.704,0.678363,1.027841,0.456452,0.116277,0.50669,0.849754,,,,,,,,,,,,,0.01,0.001,64,0.5,5.011,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-ed4dafdfe7,cora,M1_gcn_3layer,train,none,5,1,0.0,,,,46,0.526,0.562717,1.701038,0.657157,0.511,0.548892,1.804507,0.677776,0.056021,0.449683,0.832133,,,,,,,,,,,,,0.01,0.001,64,0.5,4.151,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-5ea46fc340,cora,M1_gcn_3layer,train,none,5,2,0.0,,,,82,0.716,0.722825,0.939502,0.41549,0.756,0.753781,0.817159,0.363432,0.09635,0.581659,0.852406,,,,,,,,,,,,,0.01,0.001,64,0.5,5.923,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-0b0ecfa475,cora,M1_gcn_3layer,train,none,5,3,0.0,,,,37,0.664,0.662041,1.114477,0.514864,0.695,0.689007,1.062747,0.493813,0.193451,0.409948,0.831186,,,,,,,,,,,,,0.01,0.001,64,0.5,3.688,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-0470254c61,cora,M1_gcn_3layer,train,none,5,4,0.0,,,,72,0.748,0.732945,0.794633,0.374376,0.754,0.740395,0.821507,0.374007,0.088373,0.571207,0.842933,,,,,,,,,,,,,0.01,0.001,64,0.5,5.511,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-f9acb0f556,cora,M1_gcn_3layer,train,none,5,5,0.0,,,,32,0.692,0.653664,1.171935,0.532423,0.716,0.693287,1.133841,0.515389,0.261488,0.349854,0.834217,,,,,,,,,,,,,0.01,0.001,64,0.5,3.574,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-f2046def82,cora,M1_gcn_3layer,train,none,5,6,0.0,,,,27,0.65,0.623894,1.375587,0.646156,0.626,0.599117,1.383214,0.651124,0.315237,0.233792,0.761463,,,,,,,,,,,,,0.01,0.001,64,0.5,3.302,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-230d9c953c,cora,M1_gcn_3layer,train,none,5,7,0.0,,,,48,0.704,0.693262,1.000028,0.467135,0.691,0.687592,1.020788,0.475407,0.12781,0.481948,0.828534,,,,,,,,,,,,,0.01,0.001,64,0.5,4.296,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-6cbe2a15f9,cora,M1_gcn_3layer,train,none,5,8,0.0,,,,26,0.604,0.620853,1.403309,0.624106,0.597,0.618072,1.399151,0.629658,0.263968,0.270103,0.816408,,,,,,,,,,,,,0.01,0.001,64,0.5,3.451,,,4225688,9f9bb01aee1b,propagation-depth control
M1_gcn_3layer-bcf23627ed,cora,M1_gcn_3layer,train,none,5,9,0.0,,,,30,0.75,0.721479,1.097921,0.522115,0.769,0.739505,1.069232,0.511509,0.356781,0.310008,0.847101,,,,,,,,,,,,,0.01,0.001,64,0.5,3.539,,,4225688,9f9bb01aee1b,propagation-depth control
