run_id,dataset,model,regime,inference_method,label_per_class,split_seed,lambda,beta,weighted_prior,clamped,best_epoch,val_acc,val_f1,val_nll,val_brier,test_acc,test_f1,test_nll,test_brier,ece,rule_score,edge_agreement,converged,iters,final_residual,ess_min,ess_median,rhat_max,target_h,empirical_h,adjusted_h,label_informativeness,sigma_x,beta_gen,lr,weight_decay,hidden,dropout,train_seconds,infer_seconds,logits_path,git_commit,protocol_hash,notes
FLOOR-6efc8ab16f,cora,M1_retrain_floor,control,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.0870
FLOOR-014b3fa511,cora,M1_retrain_floor,control,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.1050
FLOOR-5f7673d0de,cora,M1_retrain_floor,control,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.2680
FLOOR-a5da189d3d,cora,M1_retrain_floor,control,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.2430
FLOOR-c0ec4d6337,cora,M1_retrain_floor,control,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.2100
FLOOR-48ea1f90ee,cora,M1_retrain_floor,control,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.1070
FLOOR-74f95f0eaf,cora,M1_retrain_floor,control,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.1240
FLOOR-0a9bb2d0e7,cora,M1_retrain_floor,control,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.1250
FLOOR-45d19a17b5,cora,M1_retrain_floor,control,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.1580
FLOOR-f5fa35719f,cora,M1_retrain_floor,control,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.1950
FLOOR-f03f6dfc50,cora,M1_retrain_floor,control,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.1030
FLOOR-dee632ee56,cora,M1_retrain_floor,control,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.2670
FLOOR-2cd600621b,cora,M1_retrain_floor,control,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.1380
FLOOR-255517ccc7,cora,M1_retrain_floor,control,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.0940
FLOOR-009716388b,cora,M1_retrain_floor,control,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.1090
FLOOR-22353067b7,cora,M1_retrain_floor,control,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.1120
FLOOR-c6cecb05af,cora,M1_retrain_floor,control,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.3060
FLOOR-60194bcb0d,cora,M1_retrain_floor,control,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.0820
FLOOR-12b062a24b,cora,M1_retrain_floor,control,,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.1110
FLOOR-3a986a5f34,cora,M1_retrain_floor,control,,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.0940
FLOOR-d3c998e1ae,cora,M1_retrain_floor,control,,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.0770
FLOOR-f30eb2b366,cora,M1_retrain_floor,control,,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.0580
FLOOR-8a198821c6,cora,M1_retrain_floor,control,,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.0320
FLOOR-1a0b575a80,cora,M1_retrain_floor,control,,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.0560
FLOOR-a0dec5f54f,cora,M1_retrain_floor,control,,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.0480
FLOOR-ea41fae80a,cora,M1_retrain_floor,control,,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.0650
FLOOR-5be4797012,cora,M1_retrain_floor,control,,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.0410
FLOOR-a84fb43e22,cora,M1_retrain_floor,control,,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.0660
FLOOR-ad24fefb7b,cora,M1_retrain_floor,control,,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.0820
FLOOR-27bb90f648,cora,M1_retrain_floor,control,,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,disagreement=0.1260
