run_id,dataset,model,regime,inference_method,label_per_class,split_seed,lambda,beta,weighted_prior,clamped,best_epoch,val_acc,val_f1,val_nll,val_brier,test_acc,test_f1,test_nll,test_brier,ece,rule_score,edge_agreement,converged,iters,final_residual,ess_min,ess_median,rhat_max,target_h,empirical_h,adjusted_h,label_informativeness,sigma_x,beta_gen,lr,weight_decay,hidden,dropout,train_seconds,infer_seconds,logits_path,git_commit,protocol_hash,notes
M1_gcn-b7372c136b,cora_rewired,M1_gcn,train,none,2,0,0.0,,,,47,0.192,0.171824,1.959108,0.861547,0.15,0.121671,1.975815,0.866041,0.058972,0.153459,0.401706,,,,,,,,,,,,,0.01,0.001,64,0.5,5.345,,results/logits/M1_gcn-b7372c136b.npz,4225688,9f9bb01aee1b,rewired_h=0.1687
M2_lap-a3552f0ab7,cora_rewired,M2_lap,train,none,2,0,0.001,,,,47,0.19,0.167515,1.958713,0.861448,0.15,0.121789,1.975394,0.865946,0.058292,0.153404,0.401706,,,,,,,,,,,,,0.01,0.001,64,0.5,5.991,,,4225688,9f9bb01aee1b,rewired_h=0.1687
M2_lap-e43eb685ec,cora_rewired,M2_lap,train,none,2,0,0.01,,,,47,0.19,0.169941,1.958003,0.861237,0.151,0.123001,1.974853,0.865769,0.059422,0.153192,0.401327,,,,,,,,,,,,,0.01,0.001,64,0.5,3.285,,,4225688,9f9bb01aee1b,rewired_h=0.1687
M2_lap-724caa1b8e,cora_rewired,M2_lap,train,none,2,0,0.1,,,,47,0.192,0.169564,1.953417,0.860041,0.15,0.120518,1.970772,0.864569,0.06053,0.152226,0.410427,,,,,,,,,,,,,0.01,0.001,64,0.5,3.269,,,4225688,9f9bb01aee1b,rewired_h=0.1687
M2_lap-2619156534,cora_rewired,M2_lap,train,none,2,0,0.5,,,,47,0.192,0.161136,1.94195,0.857411,0.162,0.12177,1.959598,0.861681,0.050046,0.150691,0.493839,,,,,,,,,,,,,0.01,0.001,64,0.5,3.29,,,4225688,9f9bb01aee1b,rewired_h=0.1687
M2_lap-a8aed5f3a6,cora_rewired,M2_lap,train,none,2,0,1.0,,,,36,0.194,0.173214,1.938715,0.8554,0.156,0.126592,1.951727,0.859056,0.035403,0.146123,0.433555,,,,,,,,,,,,,0.01,0.001,64,0.5,2.935,,,4225688,9f9bb01aee1b,rewired_h=0.1687
M2_lap-f5cc89f95e,cora_rewired,M2_lap,train,none,2,0,5.0,,,,24,0.238,0.187975,1.919821,0.849841,0.205,0.152412,1.92767,0.852143,0.059027,0.143405,0.433934,,,,,,,,,,,,,0.01,0.001,64,0.5,2.794,,,4225688,9f9bb01aee1b,rewired_h=0.1687
M4_mrf_gcn-e8a3f4e7c7,cora_rewired,M4_mrf_gcn,tuned_grid,mf,2,0,,0.05,,0,,0.182,0.156818,1.96166,0.862322,0.15,0.121061,1.978582,0.866871,0.065232,0.155163,0.409858,1,5,,,,,,,,,,,,,,,,0.048,,4225688,9f9bb01aee1b,flip=0.0160 rewired_h=0.1687
M4_mrf_gcn-378215560e,cora_rewired,M4_mrf_gcn,tuned_grid,mf,2,0,,0.1,,0,,0.18,0.15582,1.964691,0.863289,0.154,0.124252,1.981922,0.86791,0.063929,0.157336,0.423697,1,6,,,,,,,,,,,,,,,,0.0344,,4225688,9f9bb01aee1b,flip=0.0380 rewired_h=0.1687
M4_mrf_gcn-2f3f0cdd81,cora_rewired,M4_mrf_gcn,tuned_grid,mf,2,0,,0.25,,0,,0.168,0.146414,1.979497,0.868681,0.15,0.116606,1.998222,0.87311,0.069027,0.168714,0.482085,1,11,,,,,,,,,,,,,,,,0.2194,,4225688,9f9bb01aee1b,flip=0.1240 rewired_h=0.1687
M4_mrf_gcn-e63fe0416e,cora_rewired,M4_mrf_gcn,tuned_grid,mf,2,0,,0.5,,0,,0.14,0.121036,2.064962,0.900941,0.125,0.091214,2.089317,0.904617,0.14212,0.228225,0.719242,1,20,,,,,,,,,,,,,,,,0.1598,,4225688,9f9bb01aee1b,flip=0.4090 rewired_h=0.1687
M4_mrf_gcn-b23e9ce3c4,cora_rewired,M4_mrf_gcn,tuned_grid,mf,2,0,,1.0,,0,,0.078,0.029482,3.215096,1.252013,0.093,0.03639,3.19823,1.236336,0.512121,0.63315,0.972133,1,38,,,,,,,,,,,,,,,,0.5273,,4225688,9f9bb01aee1b,flip=0.7380 rewired_h=0.1687
M4_mrf_gcn-fea26d16d0,cora_rewired,M4_mrf_gcn,tuned_grid,mf,2,0,,2.0,,0,,0.074,0.021389,6.537854,1.641139,0.089,0.025474,6.396173,1.624874,0.79024,0.920901,0.996398,1,31,,,,,,,,,,,,,,,,0.3951,,4225688,9f9bb01aee1b,flip=0.7780 rewired_h=0.1687
M1_gcn-c2acbfdfc6,cora_rewired,M1_gcn,train,none,2,1,0.0,,,,85,0.196,0.171604,1.995633,0.868522,0.168,0.15165,2.038235,0.880007,0.066288,0.163397,0.411218,,,,,,,,,,,,,0.01,0.001,64,0.5,6.372,,results/logits/M1_gcn-c2acbfdfc6.npz,4225688,9f9bb01aee1b,rewired_h=0.1704
M2_lap-644776d2c8,cora_rewired,M2_lap,train,none,2,1,0.001,,,,1,0.166,0.112253,1.944753,0.856815,0.151,0.095914,1.94557,0.85705,0.039025,0.142882,0.462763,,,,,,,,,,,,,0.01,0.001,64,0.5,2.494,,,4225688,9f9bb01aee1b,rewired_h=0.1704
M2_lap-b6d127246d,cora_rewired,M2_lap,train,none,2,1,0.01,,,,85,0.2,0.176777,1.994085,0.867842,0.176,0.159942,2.036873,0.879342,0.058319,0.162551,0.402691,,,,,,,,,,,,,0.01,0.001,64,0.5,7.344,,,4225688,9f9bb01aee1b,rewired_h=0.1704
M2_lap-bef43bdd05,cora_rewired,M2_lap,train,none,2,1,0.1,,,,103,0.204,0.184461,1.994141,0.867307,0.176,0.160989,2.038064,0.878676,0.060008,0.163648,0.421831,,,,,,,,,,,,,0.01,0.001,64,0.5,6.655,,,4225688,9f9bb01aee1b,rewired_h=0.1704
