run_id,dataset,model,regime,inference_method,label_per_class,split_seed,lambda,beta,weighted_prior,clamped,best_epoch,val_acc,val_f1,val_nll,val_brier,test_acc,test_f1,test_nll,test_brier,ece,rule_score,edge_agreement,converged,iters,final_residual,ess_min,ess_median,rhat_max,target_h,empirical_h,adjusted_h,label_informativeness,sigma_x,beta_gen,lr,weight_decay,hidden,dropout,train_seconds,infer_seconds,logits_path,git_commit,protocol_hash,notes
M0_mlp-434426264d,cora_smallval,M0_mlp,train,none,1,0,0.0,,,,31,0.342857,0.333241,1.897758,0.843077,0.231,0.238761,1.914309,0.84835,0.063287,0.143914,0.295566,,,,,,,,,,,,,0.01,0.001,64,0.5,2.1,,results/logits/M0_mlp-434426264d.npz,4225688,9f9bb01aee1b,5 labels/class validation
M1_gcn-96a956895f,cora_smallval,M1_gcn,train,none,1,0,0.0,,,,4,0.314286,0.288665,1.940141,0.855334,0.36,0.274437,1.929351,0.852353,0.21135,0.142989,0.63812,,,,,,,,,,,,,0.01,0.001,64,0.5,1.219,,results/logits/M1_gcn-96a956895f.npz,4225688,9f9bb01aee1b,5 labels/class validation
M4_mrf_mlp-c73d7820d1,cora_smallval,M4_mrf_mlp,tuned_grid,mf,1,0,,0.05,,0,,0.314286,0.300701,1.89569,0.842432,0.232,0.238149,1.913193,0.848032,0.070588,0.144107,0.306934,1,4,,,,,,,,,,,,,,,,0.0436,,4225688,9f9bb01aee1b,flip=0.0070 5 labels/class validation
M4_mrf_gcn-f376bf0f43,cora_smallval,M4_mrf_gcn,tuned_grid,mf,1,0,,0.05,,0,,0.314286,0.288665,1.940059,0.855302,0.356,0.271146,1.928986,0.852246,0.207138,0.143013,0.665404,1,4,,,,,,,,,,,,,,,,0.0238,,4225688,9f9bb01aee1b,flip=0.0200 5 labels/class validation
M4_mrf_mlp-a443f3b87d,cora_smallval,M4_mrf_mlp,tuned_grid,mf,1,0,,0.1,,0,,0.314286,0.300701,1.893412,0.841721,0.228,0.233494,1.911982,0.847688,0.064415,0.144337,0.324555,1,6,,,,,,,,,,,,,,,,0.2305,,4225688,9f9bb01aee1b,flip=0.0220 5 labels/class validation
M4_mrf_gcn-685c196288,cora_smallval,M4_mrf_gcn,tuned_grid,mf,1,0,,0.1,,0,,0.314286,0.293738,1.940027,0.855282,0.353,0.268218,1.928579,0.852127,0.203878,0.143042,0.694013,1,6,,,,,,,,,,,,,,,,0.0215,,4225688,9f9bb01aee1b,flip=0.0440 5 labels/class validation
M4_mrf_mlp-7a206d285b,cora_smallval,M4_mrf_mlp,tuned_grid,mf,1,0,,0.25,,0,,0.314286,0.296677,1.884789,0.839023,0.226,0.225366,1.907929,0.846566,0.061205,0.145687,0.378174,1,29,,,,,,,,,,,,,,,,0.2375,,4225688,9f9bb01aee1b,flip=0.0730 5 labels/class validation
M4_mrf_gcn-282632bc07,cora_smallval,M4_mrf_gcn,tuned_grid,mf,1,0,,0.25,,0,,0.314286,0.293738,1.940579,0.855404,0.312,0.234028,1.92733,0.851775,0.161439,0.143261,0.775104,1,19,,,,,,,,,,,,,,,,0.2852,,4225688,9f9bb01aee1b,flip=0.1150 5 labels/class validation
M4_mrf_mlp-fef0e3cdd2,cora_smallval,M4_mrf_mlp,tuned_grid,mf,1,0,,0.5,,0,,0.285714,0.248632,1.806985,0.807825,0.234,0.233401,1.890528,0.839792,0.054751,0.179199,0.572565,1,110,,,,,,,,,,,,,,,,1.1655,,4225688,9f9bb01aee1b,flip=0.2680 5 labels/class validation
M4_mrf_gcn-b5e3d7cd01,cora_smallval,M4_mrf_gcn,tuned_grid,mf,1,0,,0.5,,0,,0.285714,0.237595,1.986288,0.875278,0.225,0.166458,1.971425,0.870325,0.154277,0.172642,0.917582,1,42,,,,,,,,,,,,,,,,0.4173,,4225688,9f9bb01aee1b,flip=0.2830 5 labels/class validation
M4_mrf_mlp-514c14a00f,cora_smallval,M4_mrf_mlp,tuned_grid,mf,1,0,,1.0,,0,,0.342857,0.268737,2.01922,0.881193,0.256,0.211196,2.601507,1.032061,0.341263,0.591135,0.908109,1,91,,,,,,,,,,,,,,,,1.3177,,4225688,9f9bb01aee1b,flip=0.5560 5 labels/class validation
M4_mrf_gcn-ca4ed42a4e,cora_smallval,M4_mrf_gcn,tuned_grid,mf,1,0,,1.0,,0,,0.171429,0.084249,3.420294,1.106853,0.17,0.118815,3.005171,1.166693,0.440203,0.629033,0.990716,1,61,,,,,,,,,,,,,,,,0.6229,,4225688,9f9bb01aee1b,flip=0.3940 5 labels/class validation
M4_mrf_mlp-31517d634f,cora_smallval,M4_mrf_mlp,tuned_grid,mf,1,0,,2.0,,0,,0.371429,0.292547,3.673593,1.084232,0.264,0.255164,4.76724,1.277136,0.576382,0.846568,0.923456,1,76,,,,,,,,,,,,,,,,1.3034,,4225688,9f9bb01aee1b,flip=0.5860 5 labels/class validation
M4_mrf_gcn-efb006fc02,cora_smallval,M4_mrf_gcn,tuned_grid,mf,1,0,,2.0,,0,,0.171429,0.084249,6.581246,1.546795,0.168,0.117139,5.860058,1.477853,0.690875,0.914623,0.995074,1,64,,,,,,,,,,,,,,,,1.0213,,4225688,9f9bb01aee1b,flip=0.4000 5 labels/class validation
M0_mlp-8e66a4618b,cora_smallval,M0_mlp,train,none,1,1,0.0,,,,7,0.228571,0.134518,1.942497,0.856168,0.198,0.169807,1.939164,0.855216,0.079482,0.142894,0.630542,,,,,,,,,,,,,0.01,0.001,64,0.5,1.115,,results/logits/M0_mlp-8e66a4618b.npz,4225688,9f9bb01aee1b,5 labels/class validation
M1_gcn-f1c8688c43,cora_smallval,M1_gcn,train,none,1,1,0.0,,,,48,0.285714,0.22449,1.893754,0.837847,0.186,0.191179,2.000952,0.863628,0.109665,0.20794,0.767147,,,,,,,,,,,,,0.01,0.001,64,0.5,2.598,,results/logits/M1_gcn-f1c8688c43.npz,4225688,9f9bb01aee1b,5 labels/class validation
M4_mrf_mlp-0ea96daaba,cora_smallval,M4_mrf_mlp,tuned_grid,mf,1,1,,0.05,,0,,0.228571,0.134518,1.942403,0.856142,0.195,0.167793,1.938969,0.855161,0.079949,0.142901,0.646457,1,4,,,,,,,,,,,,,,,,0.1078,,4225688,9f9bb01aee1b,flip=0.0100 5 labels/class validation
M4_mrf_gcn-821122dc51,cora_smallval,M4_mrf_gcn,tuned_grid,mf,1,1,,0.05,,0,,0.257143,0.201309,1.89996,0.840725,0.184,0.190918,2.008177,0.865516,0.117129,0.217403,0.79784,1,5,,,,,,,,,,,,,,,,0.2327,,4225688,9f9bb01aee1b,flip=0.0250 5 labels/class validation
M4_mrf_mlp-e65bc0be77,cora_smallval,M4_mrf_mlp,tuned_grid,mf,1,1,,0.1,,0,,0.228571,0.134518,1.942292,0.85611,0.193,0.167709,1.938746,0.855098,0.079352,0.142908,0.658583,1,5,,,,,,,,,,,,,,,,0.0958,,4225688,9f9bb01aee1b,flip=0.0210 5 labels/class validation
M4_mrf_gcn-4debb04398,cora_smallval,M4_mrf_gcn,tuned_grid,mf,1,1,,0.1,,0,,0.257143,0.202466,1.909043,0.84509,0.178,0.191327,2.017699,0.868346,0.135405,0.228752,0.837059,1,6,,,,,,,,,,,,,,,,0.0642,,4225688,9f9bb01aee1b,flip=0.0700 5 labels/class validation
M4_mrf_mlp-e699a90b7b,cora_smallval,M4_mrf_mlp,tuned_grid,mf,1,1,,0.25,,0,,0.2,0.112678,1.941824,0.85598,0.188,0.156315,1.937876,0.854854,0.070994,0.142951,0.748958,1,11,,,,,,,,,,,,,,,,0.2354,,4225688,9f9bb01aee1b,flip=0.0670 5 labels/class validation
M4_mrf_gcn-c022f2c4e2,cora_smallval,M4_mrf_gcn,tuned_grid,mf,1,1,,0.25,,0,,0.257143,0.210884,1.971694,0.875014,0.165,0.185629,2.072349,0.888698,0.192258,0.280123,0.920235,1,12,,,,,,,,,,,,,,,,0.1255,,4225688,9f9bb01aee1b,flip=0.1320 5 labels/class validation
M4_mrf_mlp-d477f8787b,cora_smallval,M4_mrf_mlp,tuned_grid,mf,1,1,,0.5,,0,,0.171429,0.079426,1.962188,0.864746,0.167,0.107732,1.978837,0.871733,0.113621,0.16899,0.923835,1,50,,,,,,,,,,,,,,,,0.6926,,4225688,9f9bb01aee1b,flip=0.1930 5 labels/class validation
M4_mrf_gcn-efb0a74847,cora_smallval,M4_mrf_gcn,tuned_grid,mf,1,1,,0.5,,0,,0.228571,0.167862,2.327648,1.019458,0.146,0.159758,2.377252,1.010298,0.351515,0.458506,0.968738,1,22,,,,,,,,,,,,,,,,0.254,,4225688,9f9bb01aee1b,flip=0.1820 5 labels/class validation
M4_mrf_mlp-8b36cf73cc,cora_smallval,M4_mrf_mlp,tuned_grid,mf,1,1,,1.0,,0,,0.142857,0.035714,3.005607,1.175343,0.139,0.048682,3.006335,1.168781,0.433403,0.629583,0.993748,1,69,,,,,,,,,,,,,,,,0.9909,,4225688,9f9bb01aee1b,flip=0.2640 5 labels/class validation
M4_mrf_gcn-58a331d75e,cora_smallval,M4_mrf_gcn,tuned_grid,mf,1,1,,1.0,,0,,0.2,0.132832,3.751523,1.313143,0.135,0.141852,3.726365,1.34537,0.614643,0.784544,0.990148,1,28,,,,,,,,,,,,,,,,0.3379,,4225688,9f9bb01aee1b,flip=0.2100 5 labels/class validation
M4_mrf_mlp-b19773cec6,cora_smallval,M4_mrf_mlp,tuned_grid,mf,1,1,,2.0,,0,,0.142857,0.035714,6.030939,1.575675,0.138,0.046951,5.970334,1.513338,0.713825,0.915921,0.997916,1,54,,,,,,,,,,,,,,,,0.7301,,4225688,9f9bb01aee1b,flip=0.2710 5 labels/class validation
M4_mrf_gcn-880e5ddf55,cora_smallval,M4_mrf_gcn,tuned_grid,mf,1,1,,2.0,,0,,0.2,0.132832,6.963232,1.525925,0.133,0.137912,6.707009,1.60346,0.785675,0.944457,0.991853,1,46,,,,,,,,,,,,,,,,0.6374,,4225688,9f9bb01aee1b,flip=0.2150 5 labels/class validation
M0_mlp-287b68259b,cora_smallval,M0_mlp,train,none,1,2,0.0,,,,21,0.457143,0.42654,1.916725,0.84862,0.376,0.307161,1.902968,0.844336,0.217828,0.143207,0.302387,,,,,,,,,,,,,0.01,0.001,64,0.5,1.521,,results/logits/M0_mlp-287b68259b.npz,4225688,9f9bb01aee1b,5 labels/class validation
