run_id,dataset,model,regime,inference_method,label_per_class,split_seed,lambda,beta,weighted_prior,clamped,best_epoch,val_acc,val_f1,val_nll,val_brier,test_acc,test_f1,test_nll,test_brier,ece,rule_score,edge_agreement,converged,iters,final_residual,ess_min,ess_median,rhat_max,target_h,empirical_h,adjusted_h,label_informativeness,sigma_x,beta_gen,lr,weight_decay,hidden,dropout,train_seconds,infer_seconds,logits_path,git_commit,protocol_hash,notes
M0_mlp-0a00bef784,sbm,M0_mlp,train,none,1,0,0.0,,,,16,0.278,0.265642,1.837748,0.825275,0.271,0.253415,1.822019,0.819812,0.057838,0.150357,0.182749,,,,,,,0.3,0.30289,0.18667,0.04347,0.5,0.94696,0.01,0.0005,64,0.5,0.488,,results/logits/M0_mlp-0a00bef784.npz,4225688,9f9bb01aee1b,
M1_gcn-f4d1e919ba,sbm,M1_gcn,train,none,1,0,0.0,,,,38,0.276,0.23229,1.831991,0.821256,0.261,0.228611,1.84211,0.826678,0.035718,0.158683,0.393495,,,,,,,0.3,0.30289,0.18667,0.04347,0.5,0.94696,0.005,0.001,64,0.5,2.691,,results/logits/M1_gcn-f4d1e919ba.npz,4225688,9f9bb01aee1b,
LP-532c170c4e,sbm,LP,closed_form,label_prop,1,0,,,,,,0.168,0.048794,1.971612,0.864028,0.144,0.046732,1.990835,0.869621,0.07355,0.153839,0.971913,,,,,,,0.3,0.30289,0.18667,0.04347,0.5,0.94696,,,,,,,,4225688,9f9bb01aee1b,uses train labels as inference-time evidence
M2_lap-c5e28504ba,sbm,M2_lap,train,none,1,0,0.001,,,,38,0.276,0.23229,1.83199,0.821256,0.261,0.228611,1.842108,0.826677,0.035719,0.158681,0.393495,,,,,,,0.3,0.30289,0.18667,0.04347,0.5,0.94696,0.005,0.001,64,0.5,2.344,,,4225688,9f9bb01aee1b,
M2_lap-4e09217abf,sbm,M2_lap,train,none,1,0,0.01,,,,38,0.276,0.23229,1.831982,0.821256,0.261,0.228611,1.842092,0.826671,0.035726,0.158668,0.393495,,,,,,,0.3,0.30289,0.18667,0.04347,0.5,0.94696,0.005,0.001,64,0.5,2.155,,,4225688,9f9bb01aee1b,
M2_lap-4300e3308c,sbm,M2_lap,train,none,1,0,0.1,,,,38,0.276,0.23229,1.832081,0.821257,0.263,0.23144,1.84212,0.826641,0.034528,0.158573,0.392589,,,,,,,0.3,0.30289,0.18667,0.04347,0.5,0.94696,0.005,0.001,64,0.5,2.172,,,4225688,9f9bb01aee1b,
M2_lap-f5df32416d,sbm,M2_lap,train,none,1,0,0.5,,,,91,0.282,0.256702,1.884936,0.837112,0.279,0.263937,1.885276,0.841776,0.099631,0.192659,0.353538,,,,,,,0.3,0.30289,0.18667,0.04347,0.5,0.94696,0.005,0.001,64,0.5,3.432,,,4225688,9f9bb01aee1b,
M2_lap-84d65004ec,sbm,M2_lap,train,none,1,0,1.0,,,,81,0.28,0.253128,1.863269,0.8315,0.271,0.252264,1.865198,0.835078,0.094659,0.186616,0.366585,,,,,,,0.3,0.30289,0.18667,0.04347,0.5,0.94696,0.005,0.001,64,0.5,3.32,,,4225688,9f9bb01aee1b,
M2_lap-1e143e121c,sbm,M2_lap,train,none,1,0,5.0,,,,33,0.276,0.237819,1.847702,0.8265,0.251,0.226915,1.855712,0.830275,0.044957,0.151557,0.379542,,,,,,,0.3,0.30289,0.18667,0.04347,0.5,0.94696,0.005,0.001,64,0.5,2.225,,,4225688,9f9bb01aee1b,
M4_mrf_gcn-2e9a481f69,sbm,M4_mrf_gcn,tuned_grid,mf,1,0,,0.05,,0,,0.272,0.226302,1.833104,0.821547,0.258,0.224587,1.844719,0.827616,0.023908,0.160517,0.407448,1,4,,,,,0.3,0.30289,0.18667,0.04347,0.5,0.94696,,,,,,0.0514,,4225688,9f9bb01aee1b,flip=0.0180
