m,model,baseline,Δ acc (pts),95% CI,seeds +,p (exploratory)
1.0,GCN + Laplacian penalty,GCN,4.38,"[+2.06, +9.22]",10/10,0.002
1.0,GCN + rule penalty,GCN,0.22,"[-0.39, +0.86]",3/10,0.5625
1.0,MRF on GCN (mean-field),GCN,2.8,"[+0.73, +5.66]",5/10,0.2324
1.0,"MRF on GCN, labels clamped",GCN,3.0,"[+1.02, +5.78]",6/10,0.084
1.0,MRF on MLP (mean-field),MLP (features only),4.45,"[+1.76, +7.95]",7/10,0.0195
2.0,GCN + Laplacian penalty,GCN,2.17,"[+1.26, +3.19]",9/10,0.0039
2.0,GCN + rule penalty,GCN,0.18,"[-0.13, +0.98]",4/10,1.0
2.0,MRF on GCN (mean-field),GCN,2.37,"[+1.05, +3.55]",7/10,0.0195
2.0,"MRF on GCN, labels clamped",GCN,2.35,"[+1.03, +3.53]",7/10,0.0273
2.0,MRF on MLP (mean-field),MLP (features only),11.23,"[+6.31, +15.51]",8/10,0.0098
5.0,GCN + Laplacian penalty,GCN,1.08,"[+0.24, +2.46]",6/10,0.1367
5.0,GCN + rule penalty,GCN,2.18,"[+0.79, +4.02]",6/10,0.0469
5.0,MRF on GCN (mean-field),GCN,4.3,"[+3.02, +5.90]",10/10,0.002
5.0,"MRF on GCN, labels clamped",GCN,4.09,"[+2.66, +5.75]",10/10,0.002
5.0,MRF on MLP (mean-field),MLP (features only),19.05,"[+15.41, +22.30]",10/10,0.002
10.0,GCN + Laplacian penalty,GCN,0.75,"[+0.29, +1.54]",7/10,0.0234
10.0,GCN + rule penalty,GCN,2.7,"[+1.45, +4.58]",8/10,0.0117
10.0,MRF on GCN (mean-field),GCN,1.4,"[+0.63, +2.25]",9/10,0.0117
10.0,"MRF on GCN, labels clamped",GCN,1.91,"[+0.94, +3.45]",9/10,0.0059
10.0,MRF on MLP (mean-field),MLP (features only),22.5,"[+20.93, +23.89]",10/10,0.002
20.0,GCN + Laplacian penalty,GCN,0.59,"[-0.01, +1.42]",5/10,0.2617
20.0,GCN + rule penalty,GCN,2.37,"[+1.44, +3.62]",10/10,0.002
20.0,MRF on GCN (mean-field),GCN,0.74,"[+0.25, +1.18]",8/10,0.0273
20.0,"MRF on GCN, labels clamped",GCN,0.97,"[+0.39, +1.65]",8/10,0.0215
20.0,MRF on MLP (mean-field),MLP (features only),19.55,"[+18.44, +20.48]",10/10,0.002
