m,h,MLP,GCN,Oracle-F,Oracle-G,MRF dogmatic,MRF tuned,Δ dogmatic,Δ dog CI,Δ tuned
1.0,0.05,30.130000000000003,18.0,73.19999999999999,76.44,14.39,29.84,-15.740000000000002,"[-18.53,-13.35]",-0.2899999999999997
1.0,0.15,30.130000000000003,20.3,73.19999999999999,73.26,14.499999999999998,29.989999999999995,-15.629999999999999,"[-18.45,-13.31]",-0.13999999999999901
1.0,0.3,30.130000000000003,28.16,73.19999999999999,79.42,14.620000000000003,30.54,-15.510000000000002,"[-17.99,-13.26]",0.40999999999999975
1.0,0.5,30.130000000000003,55.53,73.19999999999999,93.30000000000001,15.770000000000001,33.0,-14.360000000000001,"[-17.43,-11.60]",2.870000000000001
1.0,0.7,30.130000000000003,90.16,73.19999999999999,98.85,32.16,44.089999999999996,2.0299999999999994,"[-9.60,+20.06]",13.96
1.0,0.9,30.130000000000003,99.66999999999999,73.19999999999999,99.95,57.18000000000001,57.2,27.05,"[+17.72,+36.50]",27.07
5.0,0.05,44.71999999999999,22.910000000000004,73.42,76.98,15.0,44.209999999999994,-29.720000000000002,"[-31.81,-28.16]",-0.5100000000000005
5.0,0.15,44.71999999999999,26.339999999999996,73.42,73.58,15.120000000000001,44.39,-29.600000000000005,"[-31.77,-27.97]",-0.3300000000000003
5.0,0.3,44.71999999999999,42.86,73.42,79.88000000000001,15.109999999999998,46.67,-29.609999999999996,"[-31.77,-28.02]",1.9500000000000006
5.0,0.5,44.71999999999999,79.0,73.42,93.23,20.64,56.96000000000001,-24.080000000000005,"[-30.53,-2.19]",12.240000000000002
5.0,0.7,44.71999999999999,96.55000000000001,73.42,98.89000000000001,94.80000000000001,94.83,50.080000000000005,"[+46.19,+52.16]",50.11
5.0,0.9,44.71999999999999,99.49,73.42,99.88000000000001,99.40999999999998,99.40999999999998,54.690000000000005,"[+52.95,+56.44]",54.690000000000005
20.0,0.05,60.58999999999999,32.22999999999999,73.44,76.75,15.379999999999997,60.25,-45.21,"[-46.72,-43.56]",-0.3400000000000003
20.0,0.15,60.58999999999999,36.36000000000001,73.44,73.47999999999999,15.79,60.54999999999999,-44.8,"[-46.42,-43.19]",-0.040000000000000036
20.0,0.3,60.58999999999999,56.71999999999999,73.44,79.80000000000001,15.690000000000001,65.30000000000001,-44.9,"[-46.35,-43.01]",4.710000000000003
20.0,0.5,60.58999999999999,85.1,73.44,93.02000000000001,86.94,87.49,26.35,"[+25.49,+27.58]",26.900000000000002
20.0,0.7,60.58999999999999,97.05999999999999,73.44,98.77,97.94,97.94,37.35,"[+35.86,+38.36]",37.35
20.0,0.9,60.58999999999999,99.71,73.44,99.94,99.72999999999999,99.72999999999999,39.14,"[+37.45,+40.22]",39.14
