structure,beta,gibbs,lbp,mf
chain,0.0,7.0053511602719e-15,5.095804420790495e-16,5.093739015651911e-16
chain,0.1,0.00018158356258943565,9.312500170402907e-08,0.00036080160649844
chain,0.25,0.0004683918145505325,1.0970497372408325e-07,0.00230657306262218
chain,0.5,0.001034789061665635,1.2091920962605933e-07,0.00978791830638316
chain,0.75,0.0016406281917555326,1.3697657100457504e-07,0.02402649762541595
chain,1.0,0.0024557227296500375,1.5462747016124234e-07,0.04764351296391623
chain,1.3,0.0036368342911194174,1.788994694719659e-07,0.09311675883531759
chain,1.75,0.0057385238728256205,1.852814752291306e-07,0.17835798803514422
chain,2.5,0.0101719353162665,1.8165346933295592e-07,0.2421813307963777
chain,4.0,0.03183640668392112,9.530209971554633e-08,0.33079979290439493
cycle,0.0,6.773917296770508e-15,2.738577797151663e-16,2.7396755518513046e-16
cycle,0.1,0.00018410991697814,9.461537697273141e-08,0.00036723226220124
cycle,0.25,0.00046693425281151,1.1004407254568954e-07,0.002322503152841205
cycle,0.5,0.00097412108076311,1.2712330253159216e-07,0.009688391945482258
cycle,0.75,0.0015515569665265675,1.5297579964516487e-07,0.023597322310607953
cycle,1.0,0.0022828949598498174,1.8562059205074444e-07,0.047280566955511166
cycle,1.3,0.00350467485676293,2.275354431408417e-07,0.0916407718969506
cycle,1.75,0.005073080085021658,3.555264849208825e-06,0.17185162776840077
cycle,2.5,0.012611892765486521,0.00033139205670473755,0.24135270573718198
cycle,4.0,0.03326430778519056,0.021473989586140732,0.36691820195879316
dense,0.0,1.105619502200783e-14,9.014574181366783e-15,9.01401968939857e-15
dense,0.1,0.0003939763718686,0.00012874960038827067,0.0014036827477224075
dense,0.25,0.0011791510521357025,0.0028106048934275303,0.011409684200359132
dense,0.5,0.006830942156797137,0.07715996776920116,0.12655362936903142
dense,0.75,0.03713149359700281,0.17346045623822398,0.20834923561444696
dense,1.0,0.19933240071825048,0.2122615298010481,0.23946179334692194
dense,1.3,0.370911702926585,0.23530414370271985,0.2574878471013503
dense,1.75,0.4831615672222444,0.2158778165276965,0.24749127759314593
dense,2.5,0.4906553649621605,0.21727299289003255,0.2904798867129573
dense,4.0,0.5248123262442889,0.22052244633633408,0.3279402253014262
grid,0.0,6.7737411139174794e-15,2.7585406696525525e-16,2.726123024695236e-16
grid,0.1,0.0002363201622673225,6.089515977299963e-07,0.0005470985089925175
grid,0.25,0.0006053349299757325,2.3532705614841212e-05,0.0035269502499470523
grid,0.5,0.0013736114551618176,0.0004254032727926,0.015434652523246753
grid,0.75,0.0025129050100064425,0.0025084580457616825,0.04330167896219064
grid,1.0,0.00384380214753789,0.010033938576900372,0.10918169492469867
grid,1.3,0.007557398036116091,0.045398290843906064,0.1919909051818626
grid,1.75,0.02283801729237478,0.13754083166046296,0.2522780516534472
grid,2.5,0.14175876514098001,0.20205717380982327,0.30639235484021016
grid,4.0,0.4366042719929425,0.20028537532559582,0.31850335452135153
grid7,0.0,9.163213265418747e-15,7.136540571819547e-16,6.974923297351637e-16
grid7,0.1,0.0002171119967648375,2.621872729034876e-07,0.00028751538357861
grid7,0.25,0.0005742065550022851,5.001936117563527e-06,0.0018300003622424299
grid7,0.5,0.0012853904366687476,0.00010386800629307136,0.007778560438022506
grid7,0.75,0.002265258035010365,0.0007034172029724925,0.01958749369272212
grid7,1.0,0.0035505784311106172,0.0030410256275567827,0.04300941246991665
grid7,1.3,0.0066840890396761025,0.013653422090804895,0.12127453894494886
grid7,1.75,0.018601050764825097,0.14085232087199234,0.381577076772064
grid7,2.5,0.18872280351587628,0.29507173969330125,0.44684337898446563
grid7,4.0,0.616546672667789,0.29547417989185487,0.48437303869197007
star,0.0,6.785998188884017e-15,2.9130953834062554e-16,2.8796206413307655e-16
star,0.1,0.0001388380133636161,9.07525645310878e-08,0.0003384592728105366
star,0.25,0.00043029620833454974,1.0902066741714034e-07,0.002458862068516515
star,0.5,0.0011025143262756475,1.0359824790419827e-07,0.015102605871126062
star,0.75,0.0018312359529062624,1.026257033431826e-07,0.05832899543229571
star,1.0,0.00330990328453317,1.0201333346105551e-07,0.09907068601090711
star,1.3,0.0054483091904654005,1.0492783082732563e-07,0.11822559603302156
star,1.75,0.0190459312276392,1.1198192855354419e-07,0.1316926758440892
star,2.5,0.09863001031403838,1.0849071777474355e-07,0.14962809515390102
star,4.0,0.4405110850556756,1.1716985646206671e-07,0.18994374476054862
tree,0.0,7.33334183308787e-15,3.000110287513606e-16,2.971256053696525e-16
tree,0.1,0.00019243169938884736,9.375333071266222e-08,0.00036877228347796003
tree,0.25,0.000493771655473655,9.945186302074381e-08,0.00236743093509723
tree,0.5,0.00104145401744394,1.1849537676822673e-07,0.010040251645367319
tree,0.75,0.0016917624545844002,1.4598918840355362e-07,0.024738007238127045
tree,1.0,0.0024081748062629573,1.425977256953469e-07,0.050939412285449084
tree,1.3,0.0035607849339145048,1.1848232410302983e-07,0.1091476312717519
tree,1.75,0.0072817674294583055,1.0688186975059603e-07,0.20923603855010472
tree,2.5,0.01631441180491468,9.25024722886535e-08,0.2896734731310995
tree,4.0,0.07263787466253656,6.836619757228355e-08,0.4197674439495035
